"","seed_classification","count","accuracy_mean_mean","merit_mean_mean","seed_classification_factor","depth","frac","lineage_classification","is_learning","relative_depth","is_exploratory_replay","seed","dir","true_seed"
"473","Error correction",0,NA,NA,"Error correction",2390,0,"Mixed bet hedging",FALSE,-600,TRUE,422,"../../2023_05_22_01__seeds_0_500",422
"474","Bet-hedged error correction",0,NA,NA,"Bet-hedged error correction",2390,0,"Mixed bet hedging",FALSE,-600,TRUE,422,"../../2023_05_22_01__seeds_0_500",422
"475","Other",0,NA,NA,"Other",2390,0,"Mixed bet hedging",FALSE,-600,TRUE,422,"../../2023_05_22_01__seeds_0_500",422
"476","Low activity",0,NA,NA,"Low activity",2390,0,"Mixed bet hedging",FALSE,-600,TRUE,422,"../../2023_05_22_01__seeds_0_500",422
"477","Bet-hedged learning",5,0.97183807,9.2468224566102e+60,"Bet-hedged learning",2440,0.1,"Mixed bet hedging",FALSE,-550,TRUE,422,"../../2023_05_22_01__seeds_0_500",422
"478","Learning",35,0.995059111142857,1.49989747381629e+74,"Learning",2440,0.7,"Mixed bet hedging",TRUE,-550,TRUE,422,"../../2023_05_22_01__seeds_0_500",422
"479","Mixed bet hedging",10,0.894534406,4.97808668389958e+83,"Mixed bet hedging",2440,0.2,"Mixed bet hedging",FALSE,-550,TRUE,422,"../../2023_05_22_01__seeds_0_500",422
"480","Error correction",0,NA,NA,"Error correction",2440,0,"Mixed bet hedging",FALSE,-550,TRUE,422,"../../2023_05_22_01__seeds_0_500",422
"481","Bet-hedged error correction",0,NA,NA,"Bet-hedged error correction",2440,0,"Mixed bet hedging",FALSE,-550,TRUE,422,"../../2023_05_22_01__seeds_0_500",422
"482","Other",0,NA,NA,"Other",2440,0,"Mixed bet hedging",FALSE,-550,TRUE,422,"../../2023_05_22_01__seeds_0_500",422
"483","Low activity",0,NA,NA,"Low activity",2440,0,"Mixed bet hedging",FALSE,-550,TRUE,422,"../../2023_05_22_01__seeds_0_500",422
"484","Bet-hedged learning",4,0.9702255825,3.61277832095944e+64,"Bet-hedged learning",2490,0.08,"Mixed bet hedging",FALSE,-500,TRUE,422,"../../2023_05_22_01__seeds_0_500",422
"485","Learning",36,0.993731363055556,5.65844444482532e+86,"Learning",2490,0.72,"Mixed bet hedging",TRUE,-500,TRUE,422,"../../2023_05_22_01__seeds_0_500",422
"486","Mixed bet hedging",10,0.901952626,2.06886918578557e+87,"Mixed bet hedging",2490,0.2,"Mixed bet hedging",FALSE,-500,TRUE,422,"../../2023_05_22_01__seeds_0_500",422
"487","Error correction",0,NA,NA,"Error correction",2490,0,"Mixed bet hedging",FALSE,-500,TRUE,422,"../../2023_05_22_01__seeds_0_500",422
"488","Bet-hedged error correction",0,NA,NA,"Bet-hedged error correction",2490,0,"Mixed bet hedging",FALSE,-500,TRUE,422,"../../2023_05_22_01__seeds_0_500",422
"489","Other",0,NA,NA,"Other",2490,0,"Mixed bet hedging",FALSE,-500,TRUE,422,"../../2023_05_22_01__seeds_0_500",422
"490","Low activity",0,NA,NA,"Low activity",2490,0,"Mixed bet hedging",FALSE,-500,TRUE,422,"../../2023_05_22_01__seeds_0_500",422
"491","Bet-hedged learning",5,0.969007438,7.40355710788649e+63,"Bet-hedged learning",2540,0.1,"Mixed bet hedging",FALSE,-450,TRUE,422,"../../2023_05_22_01__seeds_0_500",422
"492","Learning",37,0.993700032432432,5.67756153103259e+86,"Learning",2540,0.74,"Mixed bet hedging",TRUE,-450,TRUE,422,"../../2023_05_22_01__seeds_0_500",422
"493","Mixed bet hedging",8,0.89436499,1.36083833784897e+73,"Mixed bet hedging",2540,0.16,"Mixed bet hedging",FALSE,-450,TRUE,422,"../../2023_05_22_01__seeds_0_500",422
"494","Error correction",0,NA,NA,"Error correction",2540,0,"Mixed bet hedging",FALSE,-450,TRUE,422,"../../2023_05_22_01__seeds_0_500",422
"495","Bet-hedged error correction",0,NA,NA,"Bet-hedged error correction",2540,0,"Mixed bet hedging",FALSE,-450,TRUE,422,"../../2023_05_22_01__seeds_0_500",422
"496","Other",0,NA,NA,"Other",2540,0,"Mixed bet hedging",FALSE,-450,TRUE,422,"../../2023_05_22_01__seeds_0_500",422
"497","Low activity",0,NA,NA,"Low activity",2540,0,"Mixed bet hedging",FALSE,-450,TRUE,422,"../../2023_05_22_01__seeds_0_500",422
"498","Bet-hedged learning",4,0.9711958725,1.1212896280957e+62,"Bet-hedged learning",2590,0.08,"Mixed bet hedging",FALSE,-400,TRUE,422,"../../2023_05_22_01__seeds_0_500",422
"499","Learning",30,0.995135977,1.82125827172713e+80,"Learning",2590,0.6,"Mixed bet hedging",TRUE,-400,TRUE,422,"../../2023_05_22_01__seeds_0_500",422
"500","Mixed bet hedging",16,0.895387310625,1.17791248657142e+88,"Mixed bet hedging",2590,0.32,"Mixed bet hedging",FALSE,-400,TRUE,422,"../../2023_05_22_01__seeds_0_500",422
"501","Error correction",0,NA,NA,"Error correction",2590,0,"Mixed bet hedging",FALSE,-400,TRUE,422,"../../2023_05_22_01__seeds_0_500",422
"502","Bet-hedged error correction",0,NA,NA,"Bet-hedged error correction",2590,0,"Mixed bet hedging",FALSE,-400,TRUE,422,"../../2023_05_22_01__seeds_0_500",422
"503","Other",0,NA,NA,"Other",2590,0,"Mixed bet hedging",FALSE,-400,TRUE,422,"../../2023_05_22_01__seeds_0_500",422
"504","Low activity",0,NA,NA,"Low activity",2590,0,"Mixed bet hedging",FALSE,-400,TRUE,422,"../../2023_05_22_01__seeds_0_500",422
"505","Bet-hedged learning",4,0.9689902025,1.35042337371848e+65,"Bet-hedged learning",2640,0.08,"Mixed bet hedging",FALSE,-350,TRUE,422,"../../2023_05_22_01__seeds_0_500",422
"506","Learning",37,0.993780374864865,5.05805942247169e+74,"Learning",2640,0.74,"Mixed bet hedging",TRUE,-350,TRUE,422,"../../2023_05_22_01__seeds_0_500",422
