"","X","seed_classification","count","accuracy_mean_mean","merit_mean_mean","seed_classification_factor","depth","frac","lineage_classification","is_learning","relative_depth","is_exploratory_replay","seed","dir","true_seed","is_necessary_exploratory_replay","first_learning_depth","depth_frac"
"75",75,"Mixed bet hedging",0,NA,NA,"Mixed bet hedging",1083,0,"Bet-hedged error correction",FALSE,-250,TRUE,221,"../../2023_05_22_01__seeds_0_500",221,TRUE,1333,0.81245311327832
"76",76,"Other",0,NA,NA,"Other",1083,0,"Bet-hedged error correction",FALSE,-250,TRUE,221,"../../2023_05_22_01__seeds_0_500",221,TRUE,1333,0.81245311327832
"77",77,"Low activity",0,NA,NA,"Low activity",1083,0,"Bet-hedged error correction",FALSE,-250,TRUE,221,"../../2023_05_22_01__seeds_0_500",221,TRUE,1333,0.81245311327832
"78",78,"Error correction",2,0.79566357,2.16437392669054e+88,"Error correction",1133,0.04,"Bet-hedged error correction",FALSE,-200,TRUE,221,"../../2023_05_22_01__seeds_0_500",221,TRUE,1333,0.849962490622656
"79",79,"Learning",48,0.994244553541667,4.96068010861925e+74,"Learning",1133,0.96,"Bet-hedged error correction",TRUE,-200,TRUE,221,"../../2023_05_22_01__seeds_0_500",221,TRUE,1333,0.849962490622656
"80",80,"Bet-hedged learning",0,NA,NA,"Bet-hedged learning",1133,0,"Bet-hedged error correction",FALSE,-200,TRUE,221,"../../2023_05_22_01__seeds_0_500",221,TRUE,1333,0.849962490622656
"81",81,"Bet-hedged error correction",0,NA,NA,"Bet-hedged error correction",1133,0,"Bet-hedged error correction",FALSE,-200,TRUE,221,"../../2023_05_22_01__seeds_0_500",221,TRUE,1333,0.849962490622656
"82",82,"Mixed bet hedging",0,NA,NA,"Mixed bet hedging",1133,0,"Bet-hedged error correction",FALSE,-200,TRUE,221,"../../2023_05_22_01__seeds_0_500",221,TRUE,1333,0.849962490622656
"83",83,"Other",0,NA,NA,"Other",1133,0,"Bet-hedged error correction",FALSE,-200,TRUE,221,"../../2023_05_22_01__seeds_0_500",221,TRUE,1333,0.849962490622656
"84",84,"Low activity",0,NA,NA,"Low activity",1133,0,"Bet-hedged error correction",FALSE,-200,TRUE,221,"../../2023_05_22_01__seeds_0_500",221,TRUE,1333,0.849962490622656
"85",85,"Bet-hedged learning",1,0.916713503,5.69890252371e+52,"Bet-hedged learning",1183,0.02,"Bet-hedged error correction",FALSE,-150,TRUE,221,"../../2023_05_22_01__seeds_0_500",221,TRUE,1333,0.887471867966992
"86",86,"Error correction",3,0.757490666666667,2.04432444780352e+52,"Error correction",1183,0.06,"Bet-hedged error correction",FALSE,-150,TRUE,221,"../../2023_05_22_01__seeds_0_500",221,TRUE,1333,0.887471867966992
"87",87,"Learning",45,0.994236785333333,3.14654423077705e+88,"Learning",1183,0.9,"Bet-hedged error correction",TRUE,-150,TRUE,221,"../../2023_05_22_01__seeds_0_500",221,TRUE,1333,0.887471867966992
"88",88,"Mixed bet hedging",1,0.94991341,2.77453111358522e+38,"Mixed bet hedging",1183,0.02,"Bet-hedged error correction",FALSE,-150,TRUE,221,"../../2023_05_22_01__seeds_0_500",221,TRUE,1333,0.887471867966992
"89",89,"Bet-hedged error correction",0,NA,NA,"Bet-hedged error correction",1183,0,"Bet-hedged error correction",FALSE,-150,TRUE,221,"../../2023_05_22_01__seeds_0_500",221,TRUE,1333,0.887471867966992
"90",90,"Other",0,NA,NA,"Other",1183,0,"Bet-hedged error correction",FALSE,-150,TRUE,221,"../../2023_05_22_01__seeds_0_500",221,TRUE,1333,0.887471867966992
"91",91,"Low activity",0,NA,NA,"Low activity",1183,0,"Bet-hedged error correction",FALSE,-150,TRUE,221,"../../2023_05_22_01__seeds_0_500",221,TRUE,1333,0.887471867966992
"92",92,"Learning",49,0.994069320612245,1.86539630337961e+59,"Learning",1233,0.98,"Bet-hedged error correction",TRUE,-100,TRUE,221,"../../2023_05_22_01__seeds_0_500",221,TRUE,1333,0.924981245311328
"93",93,"Mixed bet hedging",1,0.99234429,4.2618833878237e+58,"Mixed bet hedging",1233,0.02,"Bet-hedged error correction",FALSE,-100,TRUE,221,"../../2023_05_22_01__seeds_0_500",221,TRUE,1333,0.924981245311328
"94",94,"Bet-hedged learning",0,NA,NA,"Bet-hedged learning",1233,0,"Bet-hedged error correction",FALSE,-100,TRUE,221,"../../2023_05_22_01__seeds_0_500",221,TRUE,1333,0.924981245311328
"95",95,"Error correction",0,NA,NA,"Error correction",1233,0,"Bet-hedged error correction",FALSE,-100,TRUE,221,"../../2023_05_22_01__seeds_0_500",221,TRUE,1333,0.924981245311328
"96",96,"Bet-hedged error correction",0,NA,NA,"Bet-hedged error correction",1233,0,"Bet-hedged error correction",FALSE,-100,TRUE,221,"../../2023_05_22_01__seeds_0_500",221,TRUE,1333,0.924981245311328
"97",97,"Other",0,NA,NA,"Other",1233,0,"Bet-hedged error correction",FALSE,-100,TRUE,221,"../../2023_05_22_01__seeds_0_500",221,TRUE,1333,0.924981245311328
"98",98,"Low activity",0,NA,NA,"Low activity",1233,0,"Bet-hedged error correction",FALSE,-100,TRUE,221,"../../2023_05_22_01__seeds_0_500",221,TRUE,1333,0.924981245311328
"99",99,"Learning",49,0.994226164081633,3.78095924359256e+74,"Learning",1283,0.98,"Mixed bet hedging",TRUE,-50,TRUE,221,"../../2023_05_22_01__seeds_0_500",221,TRUE,1333,0.962490622655664
"100",100,"Mixed bet hedging",1,0.865647964,7.8939943957003e+82,"Mixed bet hedging",1283,0.02,"Mixed bet hedging",FALSE,-50,TRUE,221,"../../2023_05_22_01__seeds_0_500",221,TRUE,1333,0.962490622655664
"101",101,"Bet-hedged learning",0,NA,NA,"Bet-hedged learning",1283,0,"Mixed bet hedging",FALSE,-50,TRUE,221,"../../2023_05_22_01__seeds_0_500",221,TRUE,1333,0.962490622655664
"102",102,"Error correction",0,NA,NA,"Error correction",1283,0,"Mixed bet hedging",FALSE,-50,TRUE,221,"../../2023_05_22_01__seeds_0_500",221,TRUE,1333,0.962490622655664
"103",103,"Bet-hedged error correction",0,NA,NA,"Bet-hedged error correction",1283,0,"Mixed bet hedging",FALSE,-50,TRUE,221,"../../2023_05_22_01__seeds_0_500",221,TRUE,1333,0.962490622655664
"104",104,"Other",0,NA,NA,"Other",1283,0,"Mixed bet hedging",FALSE,-50,TRUE,221,"../../2023_05_22_01__seeds_0_500",221,TRUE,1333,0.962490622655664
"105",105,"Low activity",0,NA,NA,"Low activity",1283,0,"Mixed bet hedging",FALSE,-50,TRUE,221,"../../2023_05_22_01__seeds_0_500",221,TRUE,1333,0.962490622655664
"106",106,"Learning",50,0.9941603348,3.82965524848775e+88,"Learning",1333,1,"Learning",TRUE,0,TRUE,221,"../../2023_05_22_01__seeds_0_500",221,TRUE,1333,1
"107",107,"Bet-hedged learning",0,NA,NA,"Bet-hedged learning",1333,0,"Learning",FALSE,0,TRUE,221,"../../2023_05_22_01__seeds_0_500",221,TRUE,1333,1
"108",108,"Error correction",0,NA,NA,"Error correction",1333,0,"Learning",FALSE,0,TRUE,221,"../../2023_05_22_01__seeds_0_500",221,TRUE,1333,1
"109",109,"Bet-hedged error correction",0,NA,NA,"Bet-hedged error correction",1333,0,"Learning",FALSE,0,TRUE,221,"../../2023_05_22_01__seeds_0_500",221,TRUE,1333,1
"110",110,"Mixed bet hedging",0,NA,NA,"Mixed bet hedging",1333,0,"Learning",FALSE,0,TRUE,221,"../../2023_05_22_01__seeds_0_500",221,TRUE,1333,1
"111",111,"Other",0,NA,NA,"Other",1333,0,"Learning",FALSE,0,TRUE,221,"../../2023_05_22_01__seeds_0_500",221,TRUE,1333,1
"112",112,"Low activity",0,NA,NA,"Low activity",1333,0,"Learning",FALSE,0,TRUE,221,"../../2023_05_22_01__seeds_0_500",221,TRUE,1333,1
"113",113,"Bet-hedged learning",11,0.549009354545455,2.70041997659738e+43,"Bet-hedged learning",933,0.22,"Small",FALSE,-400,TRUE,221,"../../2023_05_22_01__seeds_0_500",221,TRUE,1333,0.699924981245311
"114",114,"Error correction",5,0.749248526,2.34549521467941e+37,"Error correction",933,0.1,"Small",FALSE,-400,TRUE,221,"../../2023_05_22_01__seeds_0_500",221,TRUE,1333,0.699924981245311
"115",115,"Learning",3,0.994290026666667,3.78599608723796e+55,"Learning",933,0.06,"Small",TRUE,-400,TRUE,221,"../../2023_05_22_01__seeds_0_500",221,TRUE,1333,0.699924981245311
"116",116,"Low activity",31,0.52952752,1811.03967741935,"Low activity",933,0.62,"Small",FALSE,-400,TRUE,221,"../../2023_05_22_01__seeds_0_500",221,TRUE,1333,0.699924981245311
"117",117,"Bet-hedged error correction",0,NA,NA,"Bet-hedged error correction",933,0,"Small",FALSE,-400,TRUE,221,"../../2023_05_22_01__seeds_0_500",221,TRUE,1333,0.699924981245311
"118",118,"Mixed bet hedging",0,NA,NA,"Mixed bet hedging",933,0,"Small",FALSE,-400,TRUE,221,"../../2023_05_22_01__seeds_0_500",221,TRUE,1333,0.699924981245311
"119",119,"Other",0,NA,NA,"Other",933,0,"Small",FALSE,-400,TRUE,221,"../../2023_05_22_01__seeds_0_500",221,TRUE,1333,0.699924981245311
"120",120,"Bet-hedged learning",1,0.7569043872,7.08104151547327e+55,"Bet-hedged learning",983,0.02,"Small",FALSE,-350,TRUE,221,"../../2023_05_22_01__seeds_0_500",221,TRUE,1333,0.737434358589647
"121",121,"Error correction",12,0.777253168333333,1.69753333333333e+87,"Error correction",983,0.24,"Small",FALSE,-350,TRUE,221,"../../2023_05_22_01__seeds_0_500",221,TRUE,1333,0.737434358589647
