"","seed_classification","count","accuracy_mean_mean","merit_mean_mean","seed_classification_factor","depth","frac","lineage_classification","lineage_merit_mean","is_learning","relative_depth","is_exploratory_replay","seed","target_window_depth","is_target_window_start","is_target_window_end","dir","true_seed"
"89","Mixed bet hedging",2,0.89131222,7.48318611181705e+48,"Mixed bet hedging",723,0.04,"Small",48.21,FALSE,-287,FALSE,93,13,FALSE,FALSE,"../../2023_05_22_01__seeds_0_500",93
"90","Bet-hedged error correction",0,NA,NA,"Bet-hedged error correction",723,0,"Small",48.21,FALSE,-287,FALSE,93,13,FALSE,FALSE,"../../2023_05_22_01__seeds_0_500",93
"91","Other",0,NA,NA,"Other",723,0,"Small",48.21,FALSE,-287,FALSE,93,13,FALSE,FALSE,"../../2023_05_22_01__seeds_0_500",93
"92","Bet-hedged learning",10,0.68097319,5.19226896585592e+73,"Bet-hedged learning",724,0.2,"Small",43.86,FALSE,-286,FALSE,93,14,FALSE,FALSE,"../../2023_05_22_01__seeds_0_500",93
"93","Error correction",16,0.759102701875,4.98042475505222e+81,"Error correction",724,0.32,"Small",43.86,FALSE,-286,FALSE,93,14,FALSE,FALSE,"../../2023_05_22_01__seeds_0_500",93
"94","Learning",8,0.9948785425,1.91259473712486e+89,"Learning",724,0.16,"Small",43.86,TRUE,-286,FALSE,93,14,FALSE,FALSE,"../../2023_05_22_01__seeds_0_500",93
"95","Low activity",14,0.669285715714286,202.558571428571,"Low activity",724,0.28,"Small",43.86,FALSE,-286,FALSE,93,14,FALSE,FALSE,"../../2023_05_22_01__seeds_0_500",93
"96","Mixed bet hedging",2,0.865665265,5.84858324811819e+89,"Mixed bet hedging",724,0.04,"Small",43.86,FALSE,-286,FALSE,93,14,FALSE,FALSE,"../../2023_05_22_01__seeds_0_500",93
"97","Bet-hedged error correction",0,NA,NA,"Bet-hedged error correction",724,0,"Small",43.86,FALSE,-286,FALSE,93,14,FALSE,FALSE,"../../2023_05_22_01__seeds_0_500",93
"98","Other",0,NA,NA,"Other",724,0,"Small",43.86,FALSE,-286,FALSE,93,14,FALSE,FALSE,"../../2023_05_22_01__seeds_0_500",93
"99","Bet-hedged error correction",1,0.84750299,4.37267127389566e+38,"Bet-hedged error correction",725,0.02,"Small",378.8,FALSE,-285,FALSE,93,15,FALSE,FALSE,"../../2023_05_22_01__seeds_0_500",93
"100","Bet-hedged learning",11,0.679950357545455,1.31806725793469e+63,"Bet-hedged learning",725,0.22,"Small",378.8,FALSE,-285,FALSE,93,15,FALSE,FALSE,"../../2023_05_22_01__seeds_0_500",93
"101","Error correction",18,0.75895395,3.36405857679253e+88,"Error correction",725,0.36,"Small",378.8,FALSE,-285,FALSE,93,15,FALSE,FALSE,"../../2023_05_22_01__seeds_0_500",93
"102","Learning",4,0.995940445,1.77222065560228e+89,"Learning",725,0.08,"Small",378.8,TRUE,-285,FALSE,93,15,FALSE,FALSE,"../../2023_05_22_01__seeds_0_500",93
"103","Low activity",14,0.66154762,236.616428571429,"Low activity",725,0.28,"Small",378.8,FALSE,-285,FALSE,93,15,FALSE,FALSE,"../../2023_05_22_01__seeds_0_500",93
"104","Mixed bet hedging",2,0.956337165,8.76202040212983e+89,"Mixed bet hedging",725,0.04,"Small",378.8,FALSE,-285,FALSE,93,15,FALSE,FALSE,"../../2023_05_22_01__seeds_0_500",93
"105","Other",0,NA,NA,"Other",725,0,"Small",378.8,FALSE,-285,FALSE,93,15,FALSE,FALSE,"../../2023_05_22_01__seeds_0_500",93
"106","Bet-hedged learning",12,0.675833333333333,3.01440022237265e+63,"Bet-hedged learning",726,0.24,"Small",706.7,FALSE,-284,FALSE,93,16,FALSE,FALSE,"../../2023_05_22_01__seeds_0_500",93
"107","Error correction",21,0.760343161904762,6.93062121480439e+87,"Error correction",726,0.42,"Small",706.7,FALSE,-284,FALSE,93,16,FALSE,FALSE,"../../2023_05_22_01__seeds_0_500",93
"108","Learning",4,0.9950547875,9.24659852037737e+88,"Learning",726,0.08,"Small",706.7,TRUE,-284,FALSE,93,16,FALSE,FALSE,"../../2023_05_22_01__seeds_0_500",93
"109","Low activity",12,0.639805559166667,66.02,"Low activity",726,0.24,"Small",706.7,FALSE,-284,FALSE,93,16,FALSE,FALSE,"../../2023_05_22_01__seeds_0_500",93
"110","Mixed bet hedging",1,0.8783709,2.4714683215414e+47,"Mixed bet hedging",726,0.02,"Small",706.7,FALSE,-284,FALSE,93,16,FALSE,FALSE,"../../2023_05_22_01__seeds_0_500",93
"111","Bet-hedged error correction",0,NA,NA,"Bet-hedged error correction",726,0,"Small",706.7,FALSE,-284,FALSE,93,16,FALSE,FALSE,"../../2023_05_22_01__seeds_0_500",93
"112","Other",0,NA,NA,"Other",726,0,"Small",706.7,FALSE,-284,FALSE,93,16,FALSE,FALSE,"../../2023_05_22_01__seeds_0_500",93
"113","Bet-hedged learning",10,0.708892919,3.64398427497129e+71,"Bet-hedged learning",727,0.2,"Small",352.59,FALSE,-283,FALSE,93,17,FALSE,FALSE,"../../2023_05_22_01__seeds_0_500",93
"114","Error correction",23,0.757791724347826,1.63620317075479e+75,"Error correction",727,0.46,"Small",352.59,FALSE,-283,FALSE,93,17,FALSE,FALSE,"../../2023_05_22_01__seeds_0_500",93
"115","Learning",4,0.9810509,1.11925435793701e+69,"Learning",727,0.08,"Small",352.59,TRUE,-283,FALSE,93,17,FALSE,FALSE,"../../2023_05_22_01__seeds_0_500",93
"116","Low activity",13,0.618759162307692,320.578461538462,"Low activity",727,0.26,"Small",352.59,FALSE,-283,FALSE,93,17,FALSE,FALSE,"../../2023_05_22_01__seeds_0_500",93
"117","Bet-hedged error correction",0,NA,NA,"Bet-hedged error correction",727,0,"Small",352.59,FALSE,-283,FALSE,93,17,FALSE,FALSE,"../../2023_05_22_01__seeds_0_500",93
"118","Mixed bet hedging",0,NA,NA,"Mixed bet hedging",727,0,"Small",352.59,FALSE,-283,FALSE,93,17,FALSE,FALSE,"../../2023_05_22_01__seeds_0_500",93
"119","Other",0,NA,NA,"Other",727,0,"Small",352.59,FALSE,-283,FALSE,93,17,FALSE,FALSE,"../../2023_05_22_01__seeds_0_500",93
"120","Bet-hedged learning",8,0.66856021125,1.41544350849982e+62,"Bet-hedged learning",728,0.16,"Small",67.37,FALSE,-282,FALSE,93,18,FALSE,FALSE,"../../2023_05_22_01__seeds_0_500",93
"121","Error correction",22,0.748993295454546,8.64008566232306e+88,"Error correction",728,0.44,"Small",67.37,FALSE,-282,FALSE,93,18,FALSE,FALSE,"../../2023_05_22_01__seeds_0_500",93
