genome,merit,merit_given,gen,accuracy,door_rooms,exit_rooms,correct_doors,incorrect_doors,correct_exits,incorrect_exits,doors_taken_0,doors_correct_0,doors_taken_1,doors_correct_1,doors_taken_2,doors_correct_2, seed
"[103]OkJacKxshvhtGoBDBHhmKvkduuGCkvJBPauAhxIDoFakxvHFuuwRjcLcRnjlwzsptznpAlJLqJxvACkkkOlCmHnmmhxzuiloJdJcQvm",2.44141,2,2458,1,3,0,3,0,0,0,0,0,3,2,6,3, 143
"[112]JJiNEdFJslvfpbDaErwwmzgvyKAfbEruMpvNLsbBGlCsaftHzKivqBgLokMpeiBkxztbwPkBJxgGqkIgRPyNAQMqdbQuBstrBeuHnpkMejBOnLOc",3.05176,1,2578,1,4,0,4,0,0,0,0,0,3,3,1,1, 144
"[64]KHHoIoabCJRvDhxNRICbeLhxlyrwIweGktdPvljQpRKrsDkjtGCFkdzerAbhiHBC",1.18305e+29,8.31633e+11,1958,0.666869,24651,8212,16439,8212,8212,0,8212,8212,8212,8212,16439,8227, 145
"[123]KGMqzgjJqdgNsPmEidCwxjjsOwxAvjfejqtBdlnhqapOfbvwIRDlGQgBrlibFuQNGcjyCauQHHPgDPrAbOgdmRGjdgxaQlhLaGpfJalnlOzRfwQdKoxsxKPQyou",1.95312,1,2481,1,2,0,2,0,0,0,0,0,1,1,1,1, 146
"[106]JiHbEJyeKfkrtGPOoafbRrkucvEELNdEvCoysDxeQrwPNkwnakgawapsQpNfeQGeLjgrGQlGLIKcEcgfixexLslvJaKOxbyfphmJhemnQx",2.44141,2,2487,1,3,0,3,0,0,0,0,0,8,3,4,1, 147
"[87]JGgGqOLJGOtRvrygpePwwhfcFezfxFyykqhnIQiAQctjycRkxMwPIOtIpfuxzkyRmPKIHNOjbcpGRsMoeonoNxy",1.95312,2,2517,1,2,0,2,0,0,0,0,0,4,2,0,0, 148
"[99]RscoOLgceicxkaccPccxFdJcQhHjcesccdccaNtcgccNcjNcikcPhCcnccCNccFccqFbccIQccccKcnHKAChqcfelHhfczItjKG",4.12234e+24,3081.49,225,0.65872,797,272,525,272,272,0,272,272,526,254,271,271, 149
"[80]fRcetabkfcMOBcnEDsaFdabdgBGMqovLJoDePPDfAwAzFPwgcoGMrwcKcNcHcRpacdNMcLjcbawfcIia",1.18305e+29,136846,662,0.670755,1060,348,711,349,348,0,348,348,349,349,711,362, 15
"[98]rcJkwGNbfmhKKAfkwoukHyxDkEtpQkEnRsQMhznCpkDMCbzIffxfCyfQGwgmezhgwaJtqAaeeNjxswFRKbrqaPDJvzusgOcAzk",2.44141,1.5625,2468,1,3,0,3,0,0,0,0,0,1,1,2,2, 150
"[88]bFQFFgRmlnMyDnDJKOcRHQcqQbecbfNEgmcIChmHGBPpdyqtxabywNxaQLReIOcAvaKFejKaRFBJCnaeDJmyQgNI",1.18305e+29,1.28689e+09,2641,0.665035,3472,1163,2309,1163,1163,0,1163,1163,1163,1163,2309,1146, 151
"[87]KzsyGmRfzFlMDHJEDooBBzOJqmwsMwfFoHGxGLFMmCsHlKforCIbCmqwuklxMoADNlPGsxGudcljeCmyuHsPKRJ",1.95312,2.95312,2510,1,2,0,2,0,0,0,0,0,2,2,2,2, 152
"[105]KGfOqJJxOFGCdbMqAkqsnbtOypgrAGHzmLioPqjPgkzwuDNsweRDjvPGNDgJQOJaProvQdePnDjKGvyLEdLJaqHFRsrkxrlNlNJmIElwN",2.44141,2,1027,1,3,0,3,0,0,0,0,0,6,2,3,2, 153
"[92]COAutrEJRiHNyOvQvrPuNmEsnFFlOitBCwlvjzLEAIsqHEjzDMqwkEFGnuKEfaHcqMfnHIMfpkcceJqMrCnKuQDREvNm",1.18305e+29,2.92605e+10,962,0.666815,17987,5992,11994,5993,5992,0,5992,5992,5992,5992,11995,6002, 154
"[121]JKHgFNNxGCluEGaCjNouCPvRbPlbJCBMBOGPlvaNLrHnviLFPFIelFJkfhbiHKnGrEbgFuLKjdIRMGNRaRxMhaQnyxgunAivFaLzdHLvdKAkdxgfiQsmGxlwh",1.95312,1.95312,2440,1,2,0,2,0,0,0,0,0,1,1,1,1, 155
"[92]BceDpOHFchjddFpAgjHcgucJEccPccccfccGjDcfBfecHRavpHclcrzcNGeoyMzaLyjcfdrDucMsOiccwcbcOQIoHKeo",1.18305e+29,7.21326e+13,277,0.666672,7.08159e+08,2.36049e+08,4.7211e+08,2.36049e+08,2.36049e+08,0,2.36049e+08,2.36049e+08,4.7211e+08,2.36061e+08,2.36049e+08,2.36049e+08, 156
"[98]aMQBzycxQpaRsiuiNsJHcRgQbeeGIKqqHHGpggxdlbnuRlrbntKucAMGnLQntfyvRRRetORlkrruKRdHuiRqwLglGCAHDRvGmv",1.18305e+29,1.18305e+29,1353,0.670161,1431,472,959,472,472,0,472,472,959,487,472,472, 157
"[84]CzlAcAKAwlfsBPRJEwKHQqocQbDePPlykvPIkCeJrwQfIJqPisidzkqohJDzBasDdOhOywMQgBiEPLbtAanJ",1.18305e+29,1.39525e+11,1878,0.667026,1853,616,1236,617,616,0,616,616,616,616,1237,620, 158
