"depth","seed","count","accuracy_mean","accuracy_max","accuracy_min","merit_mean","merit_max","merit_min","merit_median","door_rooms_mean","door_rooms_max","door_rooms_min","exit_rooms_mean","exit_rooms_max","exit_rooms_min","correct_doors_mean","correct_doors_max","correct_doors_min","incorrect_doors_mean","incorrect_doors_max","incorrect_doors_min","correct_exits_mean","correct_exits_max","correct_exits_min","incorrect_exits_mean","incorrect_exits_max","incorrect_exits_min","genome_length","seed_classification","seed_classification_factor"
"441","6",100,0.85304131,0.882759,0.819149,26190456665715433472,2.09027e+21,29260500000,9.24198e+13,210.9,309,145,31.37,51,17,179.51,264,126,31.39,51,17,31.37,51,17,0,0,0,96,"Error correction","Error correction"
"442","6",100,0.85400693,0.882353,0.823045,2.00151797619483e+20,1.94672e+22,36575600000,6.491935e+13,208.76,319,142,30.77,50,17,177.99,274,125,30.77,50,17,30.77,50,17,0,0,0,96,"Error correction","Error correction"
"443","6",100,0.85380731,0.88024,0.828358,17092156602365100032,1.07022e+21,45719500000,3.32387e+13,205.24,308,147,30.27,49,19,174.97,262,128,30.27,49,19,30.27,49,19,0,0,0,96,"Error correction","Error correction"
"444","6",100,0.85167245,0.886792,0.823529,6.36062028849474e+20,5.94091e+22,57149400000,3.32387e+13,206.78,320,148,30.91,51,18,175.86,277,129,30.92,51,18,30.91,51,18,0,0,0,96,"Error correction","Error correction"
"445","6",100,0.85213642,0.889535,0.820175,4291354342484048896,2.24441e+20,89295900000,3.69319e+13,205.68,303,152,30.65,48,19,175.01,254,133,30.67,49,19,30.65,48,19,0,0,0,96,"Error correction","Error correction"
"446","6",100,0.8527128,0.881356,0.822222,5364039521062982656,1.79553e+20,36575600000,5.77061e+13,205.44,302,147,30.54,49,18,174.9,255,129,30.54,49,18,30.54,49,18,0,0,0,95,"Error correction","Error correction"
"447","6",100,0.85087777,0.878205,0.820175,49338026948452548608,4.08256e+21,57149400000,1.014364e+14,211.53,312,154,31.83,49,19,179.67,267,132,31.86,50,19,31.83,49,19,0,0,0,95,"Error correction","Error correction"
"448","6",100,0.85089306,0.88,0.823789,2129854815375183872,1.14914e+20,36575600000,4.15484e+13,206.23,294,149,31,50,18,175.23,249,130,31,50,18,31,50,18,0,0,0,95,"Error correction","Error correction"
"449","6",100,0.85354452,0.880795,0.818182,4400868656773827072,2.80552e+20,29260500000,3.69319e+13,203.62,300,147,30.16,48,18,173.44,255,127,30.18,49,18,30.16,48,18,0,0,0,96,"Error correction","Error correction"
"450","6",100,0.85247529,0.882353,0.820144,3328474113812582912,1.43642e+20,36575600000,4.7319e+13,205.3,299,148,30.59,50,18,174.71,253,128,30.59,50,18,30.59,50,18,0,0,0,96,"Error correction","Error correction"
