genome,merit,merit_given,gen,not,nand,and,ornot,andnot,or,nor,xor,equ, seed
"[53]xsrzovujlqkorvxdemdltuaevuyzyqpnpwlqtppndqdtyejsttvab",65536,65536.7,14444,1,1,1,1,1,1,1,0,0, 171
"[48]ruiquvfptnqfmpqpqqpmsqrrpcpgqlglupnqutttyxszvrab",524288,524289,30479,1,1,0,1,1,1,1,0,1, 172
"[44]ruhdeiszqpqgypqxldppntqvfboiqppqvquttyystvqb",16384,8192.64,36200,1,1,0,1,1,1,1,0,0, 173
"[48]rpzxvxwvhpihnqqpqlmpmygdnqcqqpuphqnutttyhusttvab",128,128.54,37270,1,1,0,1,1,0,0,0,0, 174
"[51]oplbrzpvmdikchmuqrtovttttqpnmdtqppqqpqzoxygnstttvab",16384,16384.8,19789,1,1,0,1,1,1,1,0,0, 175
"[98]rqwzxvipzgpunlqrpflbngplqslqplenhgqqqyaqiyetttklbxvpbtpzqnyadfrppdqqoegquqwpfmlrnwhqttywstttttvjfa",3.35544e+07,3.35544e+07,25470,1,1,1,1,1,1,1,1,1, 176
"[53]rkznvkgwuuktktfttiqtztqpwqpkqtppsqpoqpvlnqpttthyfsvwb",65536,32768.7,22640,1,1,1,1,1,1,1,0,0, 177
"[45]rztkmwhspydpqhoqpqvlgipnlpqrgoqfqutttttytsvsb",2048,2048.62,38488,1,1,0,1,1,0,1,0,0, 178
"[149]hpxayatixqqzpjpqipynwchoemxwvesqedrebecwsreltwgtowbjzcqibgxqppbqsbnxrgowmbgqpkciyzerqeavcennrgihzckfuwemsivqoqplblqqpondfoumyqulcgxrfqnqtnuttyvtstvab",65536,65537.7,17633,1,1,1,1,1,1,1,0,0, 179
"[54]rulvwipzuduoqwotyshnmqemqqepwlsnntpeqettqttyvpsttttvab",16384,16384.7,27582,1,1,0,1,1,1,1,0,0, 18
"[53]runvsupfgqvgggeqviknvvqtipqpegqplngqzpjpftftynvsttvab",1.04858e+06,1.04858e+06,15410,1,1,1,1,1,1,1,1,0, 180
"[45]brzsvosqimlioinqkpneppqdqqppolnqdttyyqstvhwab",16384,8192.54,35948,1,1,0,1,1,1,1,0,0, 181
"[52]ruqdvqfqipnlqrqffhpggdqogpqpqpnlqjquslpivttttyutzvab",65536,65536.7,26790,1,1,1,1,1,1,1,0,0, 182
"[51]ruqsvxzttnhequphqtpxnxlroqztipnikttqmpqcttyvnsttvab",65536,65536.7,23421,1,1,1,1,1,1,1,0,0, 183
"[53]rukvpscrbdhutindldqptyzowqhtpgnspqqqhqnftyqysttttvaab",65536,65536.8,18360,1,1,1,1,1,1,1,0,0, 184
"[32]rauavupqafiegpqmozqwpqyigtyvsvdb",65536,65536.4,8970,1,1,1,1,1,1,1,0,0, 185
"[50]rbzxvvusqkqxptgpwqppkqutilhptffogqsdqvttttyxhsvyab",4.1943e+06,4.1943e+06,19709,1,1,1,1,1,0,1,1,1, 186
"[54]rujvipzqipgvgheffnihfgvcqttgplnvprfrqhhttttytsqfsttvrb",65536,65536.6,24655,1,1,1,1,1,1,1,0,0, 187
"[52]rzrvdcakuebuyoplqnvezpsoqofnpqnslbppgphqnttttykmsvab",65536,65536.6,15313,1,1,1,1,1,1,1,0,0, 188
"[101]jrkrznogqopgqppqpqkoqqppznlqpmvqqlutttttywlstttgisptjdqmxganlkvzaqchuwlqxfjsljclwujudsehqngrtzglsrqab",16384,16384.7,18259,1,1,0,1,1,1,1,0,0, 189
"[45]ruvupjqtopqhoqkfgqeyvnfzignqtqrssgutttyhtyvab",524288,524289,25108,1,0,1,1,1,1,1,1,0, 19
"[48]rzwplbyqymqvpvgxzkfzqkpzlgnqfplqpeutqttyhsttvyzb",16384,16384.7,25454,1,1,0,1,1,1,1,0,0, 190
"[49]ruvjfouwespxznqcopquoeqvpelonptqwqhqsttttyjkstvab",65536,65536.6,27407,1,1,1,1,1,1,1,0,0, 191
"[48]wnkruveyphppqmpjqtqpgypgqepynlqqqsfctttydvsttyab",65536,65536.6,25114,1,1,1,1,1,1,1,0,0, 192
"[55]rquyfisuqzpsqzpvqzpgprqeiqwolnqpngoluqopqpqutttyqystvab",65536,65536.7,31141,1,1,0,1,0,1,1,0,1, 193
"[49]razfvunkzqlnpqjvuqpogspdqfypqfuikvotgqytttyustvnb",3.35544e+07,3.35544e+07,17603,1,1,1,1,1,1,1,1,1, 194
"[52]ruvqjqhphzffzpqjspiiqwykvppggfngpqqgpqqidttttyvldvab",262144,65536.7,29246,1,1,1,1,0,1,1,0,1, 195
"[47]ruwcvqpzpqupnpgqtpqpcnlqqpqlprnlququttyustvtvyb",16384,16384.7,36483,1,1,0,1,1,1,1,0,0, 196
"[54]rujervexbuwqfgppgqofxqtlbphnbpnqqwooqcogmmxttyymsttvab",3.35544e+07,8.38861e+06,20228,1,1,1,1,1,1,1,1,1, 197
"[50]rrzlfqtppunpqdpvqqpqgpeqqzmtouqpipnnlqtgttynsstyae",65536,65536.7,27523,1,1,1,1,1,1,1,0,0, 198
"[51]rzxvwweloqcptpkqpifoeqqnipticnlpiqlqsqutttywvstvyab",16384,16384.6,34470,1,1,0,1,1,1,1,0,0, 199
"[56]rizsvuqfplynsfvqepyrpsrlwemaoyojgqrcrqmqzsktpitgywstvktb",65536,65536.5,15868,1,1,1,1,1,1,1,0,0, 2
"[88]ruqvpxzlqypkttttttqppqpqmoqzipepntistyoqsvabruqvpxzlqypkttttttqppqpqmoqzipepntistyoqsvab",65536,8192,23587,1,1,1,1,1,1,1,0,0, 20
"[110]kiurxvpsqhpgqplmpflnqpgtpggqfqpxquohttiqitfttymrstttvabaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa",1.04858e+06,1.04858e+06,16641,1,1,1,1,1,1,1,1,0, 200
"[49]ruvykcdcqumqlpvqtgmiptpfqffhyipinlqqtgtttyhfstvab",65536,65536.6,14531,1,1,1,1,1,1,1,0,0, 21
"[49]ruqvvqlpalhupttglqzoyqgthqfyyrwcmyjidhimtywxstvab",16384,16384.5,12121,1,1,0,1,1,1,1,0,0, 22
"[48]ruqxqvlfpvnqjflgqqyypfloygqpoqsqqjpssuttttyfdvdb",8.38861e+06,8.38861e+06,27224,1,1,0,1,1,1,1,1,1, 23
"[108]alyznvqcbqppmpxizfoysupyvqqoecaakjysjkllxsiaghuyzcdtrpvuinvrqzszmzdqpvapypqtykkgqpoeplqqcrazoqrutttyossttgab",3.35544e+07,3.35544e+07,6178,1,1,1,1,1,1,1,1,1, 24
"[49]ruvwdiuqgeoymeqenigirppgtldgrnqipitnhfqttyzkstvab",65536,65536.7,14081,1,1,1,1,1,1,1,0,0, 25
"[43]rbzhvqgupppdqztpeggqtttehtflnqrfittfydjsvab",8.38861e+06,8.38861e+06,25315,1,1,0,1,1,1,1,1,1, 26
"[54]rufmjvpgxzqcgpqqqpcpomqhtoeiqfpqlppniqhpfltttttyfvsvab",8.38861e+06,524289,21394,1,1,0,1,1,1,1,1,1, 27
