genome,merit,merit_given,gen,path_tiles_visited,moves_off_path,map_idx, seed
"[90]GlHgscCuCJDLDeOypQOtHRHSMCgNvPuPysdMPbwKunlhLlnRcNzyxxAaSyHMnMQxhHuSiOBNRDEGOnyFvrcLBNiOIy",32,8,2856,5,0,2, 183
"[84]qLwxFOQppLukFnPOQAruNlmAfljfztnfvrutcfvdLEbOKozSHGpjbIwwQSpQMdAvGPkNxLoEQyuGaNcHLczO",64,64,1018,6,0,0, 184
"[82]plimpPwjpqMFEwAsoBGHdELgIHSErvEDgkcMolxoKabbHcoogkqjiIMbOaczGzEmfaGScRdBsFKAxohfGn",256,16,1140,24,16,0, 185
"[81]gSfPvNhpHNoFbsNBAcPBOsMwMGztLRKEHiapFyRmExINABoqlfRmHEcpxtbpyOxfdhxruLOBOJnIGNidH",128,128,2184,7,0,0, 186
"[49]EEOykzdNDsotesteHNtiQKMaqLRtEfREoIxPJNpyoKBoJQsiQ",2.8823e+17,2.14748e+09,2143,82,24,0, 187
"[98]pMhPBBLhoOKLHvieRvcBxuscdcLBFcbfsgLvAGlnIjkxleNnwcjoCBJOlLJaqkDbqpzyLPBCwIepGhEczccuNAwzBHejREPyPu",1.37439e+11,2.68435e+08,749,43,6,2, 188
"[63]EglLoeyRBocBOcBcppsvPxhOJatnjtgGkceStPKdnpkyAHnaFwNptipMxIpguyH",2048,65,1557,11,0,3, 189
"[57]HIEwNJlRweaGNRSyAxaHzfLSwDiAyKEGGDmwkbcNMoOLsmCbjHpJeaFzJ",1.67772e+07,1025,2500,24,0,0, 19
"[92]deosAHIQMPQMtjANelMLPjmlgohrknMdHnhPRBMBcNroLPgdSSKtmuElAaoLiHumtsyFRicwxrjLxazSGrJaFCqatqaF",2048,256,758,11,0,3, 190
"[63]oGFHmLsikEwpnpkbEyoRwhOeNLIdmcGRqcDFokGAJAmzGEhHFvRqMLLuLrMKRje",1024,64,3036,11,1,2, 191
"[81]mAQJyfleSeHscqRKefGzljSFxHLNSuwyjzyLGeJiwMmLGRyHkOLupErmueuzRprcIoBHLcGvfMcINDaof",32768,2048,2825,15,0,0, 192
"[106]PQQfjpghMvNsrPrltcQSLhSjvLpwQCuPbIALQIgKlHdQBpnJqMpbxrfabNCwpCyERtJjLMoKPKDBBcADtpdukDyByGSqFLJQrcHIDxjOzH",9.67141e+24,1.71799e+10,3214,127,44,3, 193
"[92]mfoNFRHORmnQElFrLGvMKRHdzLoDgNaxbLugdPlLsLBcEyaMJHSbavfGmcLgiySSfLbOAhGzIieuliPidrxirLLHgRrz",8192,129,808,14,1,3, 194
"[92]iLBoKyFMcHlwGLPLNHIkgSQFvPzLjobdGodcfHFhlFaqIbjnDfrjpmBLFMLtHuHLshtHApsNNKQEfuQAshSeaHQypqrD",128,32,2848,8,1,2, 195
"[88]PEDcMGzEnLPKzpRADpjKqcmhGcEciPdaglMQvODIbuasOaDoRHjIupGspCufGOhmzjdEQMLErnHoAhAMzwEcLRfK",512,257,2815,10,1,3, 196
"[105]vHIDNDEjfeDMStPrkdsRxQccQDwDiGzRuuHdozLrGfSrzuKgybtFPkNimljckoDNdjQwkzyqIoiJJeyGoydCGjutHspuHutuJARIPCOeJ",524288,8192,2479,20,1,3, 197
"[74]eFkRDGzOSLcsNtruvOnhzdtrOcKHRuOExLNBDajPgcxcGIQDPbGHCFQiqjNJhsIQFbxDipyIFS",256,17,1671,9,1,2, 198
"[37]iuRdiFLAMKsrHAeoemGhxEgLBgGPytIHgBcGS",64,17,3026,6,0,1, 199
"[101]buMdEjsLjLGMKMmEkLNHMeDuchKDxjrxkCgOhIcqaGchuhHheFqskJuEbioNqNxQCjqfAaJyrdMjsmeiFoemLACkzeFDBOKQGtMSd",128,65,2952,8,1,2, 2
"[102]pekOvfHPdpFQIscCHdkDNHsnwzAcMDeCrmImtoRFFewxOGaMotrfrczhLjMiRjRKfpBFQFRicccFqPopwtKmmlruNmpOcrbkIDCSol",65536,256,1560,18,2,0, 20
"[81]luNaltAvLRKBxnaihFALLqQKFbQRsaBfOmOxwMOHLOxpgeBcBygoacSNwxePoGLIyPOQJHwtsgewlsfFe",524288,32769,1853,23,4,3, 200
"[49]jBxshohvtglLELolaQtslbmHxAadzIhHmLvrRtaGBaOCMvLOK",64,17,3033,6,0,2, 21
"[98]SGeucccHQIQnGkLSophmgiujLlPmAROOPougmfEQNKibjGnaHmBBLbSkeeLMfSGloFynRzfSAzRBhBCciGgPrSbFSkBoHJyHvd",32768,128,811,17,2,3, 22
"[85]pJCdghONJkxdeRDcazaNndRaNOphHNAmcLnIpkRyzzMFqkwddezbMxzubNOtHPwQDKRFQmwFfpjiFRzodrpgL",4.95176e+27,2.14748e+09,1129,111,19,2, 23
"[100]FzHjicwGNFDHeoFloaxQIibhMcBINrONjwmPgHmELSreQpFgROvrRldaKufEpvvRgsjtPyexOkyOtHzABceOhdLzSApRrJsaipjj",1.67772e+07,8192,2555,24,0,0, 24
"[102]cnccjcdrSHNkcqcycOrqcJeLPpyxtPwLQIRHPwFkNtyGLPOkpCpxrRcNNGHfNyIEzpEsmzQcAHMQOMgExtwEcAmjRjdNIEfLGcRfKC",6.71089e+07,512,671,27,1,3, 25
"[82]mkhfhBHnAwumdmudbbyGvjANiLcncIfCebhyRBMMudrumwsbKqLIKOwliDPmMhpprDAgmtyqOScGhxJIma",32,9,2818,5,0,2, 26
