"","trial_number","genome","merit","accuracy","genome_length","door_rooms","exit_rooms","correct_doors","incorrect_doors","correct_exits","incorrect_exits","doors_taken_0","doors_correct_0","doors_taken_1","doors_correct_1","doors_taken_2","doors_correct_2","seed"
"176",75,"[21]HcHxvnJHqKHGqayIHmjJr",322,1,21,321,0,321,0,0,0,0,0,161,161,160,160,2
"177",76,"[21]HcHxvnJHqKHGqayIHmjJr",318,0.996865,21,319,1,318,1,1,0,1,1,161,161,158,157,2
"178",77,"[21]HcHxvnJHqKHGqayIHmjJr",311,1,21,310,0,310,0,0,0,0,0,148,148,162,162,2
"179",78,"[21]HcHxvnJHqKHGqayIHmjJr",300,0.980707,21,311,6,305,6,6,0,6,6,167,167,144,138,2
"180",79,"[21]HcHxvnJHqKHGqayIHmjJr",322,1,21,321,0,321,0,0,0,0,0,170,170,151,151,2
"181",80,"[21]HcHxvnJHqKHGqayIHmjJr",317,1,21,316,0,316,0,0,0,0,0,157,157,159,159,2
"182",81,"[21]HcHxvnJHqKHGqayIHmjJr",313,0.984472,21,322,5,317,5,5,0,5,5,173,173,149,144,2
"183",82,"[21]HcHxvnJHqKHGqayIHmjJr",319,1,21,318,0,318,0,0,0,0,0,165,165,153,153,2
"184",83,"[21]HcHxvnJHqKHGqayIHmjJr",314,0.990596,21,319,3,316,3,3,0,3,3,168,168,151,148,2
"185",84,"[21]HcHxvnJHqKHGqayIHmjJr",300,0.993399,21,303,2,301,2,2,0,2,2,137,137,166,164,2
"186",85,"[21]HcHxvnJHqKHGqayIHmjJr",323,1,21,322,0,322,0,0,0,0,0,170,170,152,152,2
"187",86,"[21]HcHxvnJHqKHGqayIHmjJr",314,1,21,313,0,313,0,0,0,0,0,148,148,165,165,2
"188",87,"[21]HcHxvnJHqKHGqayIHmjJr",316,1,21,315,0,315,0,0,0,0,0,162,162,153,153,2
"189",88,"[21]HcHxvnJHqKHGqayIHmjJr",329,1,21,328,0,328,0,0,0,0,0,172,172,156,156,2
"190",89,"[21]HcHxvnJHqKHGqayIHmjJr",308,0.990415,21,313,3,310,3,3,0,3,3,161,161,152,149,2
"191",90,"[21]HcHxvnJHqKHGqayIHmjJr",304,0.990291,21,309,3,306,3,3,0,3,3,155,155,154,151,2
"192",91,"[21]HcHxvnJHqKHGqayIHmjJr",314,0.996825,21,315,1,314,1,1,0,1,1,160,160,155,154,2
"193",92,"[21]HcHxvnJHqKHGqayIHmjJr",337,1,21,336,0,336,0,0,0,0,0,194,194,142,142,2
"194",93,"[21]HcHxvnJHqKHGqayIHmjJr",305,0.990323,21,310,3,307,3,3,0,3,3,160,160,150,147,2
"195",94,"[21]HcHxvnJHqKHGqayIHmjJr",316,0.99373,21,319,2,317,2,2,0,2,2,169,169,150,148,2
"196",95,"[21]HcHxvnJHqKHGqayIHmjJr",310,1,21,309,0,309,0,0,0,0,0,144,144,165,165,2
"197",96,"[21]HcHxvnJHqKHGqayIHmjJr",309,1,21,308,0,308,0,0,0,0,0,143,143,165,165,2
"198",97,"[21]HcHxvnJHqKHGqayIHmjJr",319,0.993789,21,322,2,320,2,2,0,2,2,177,177,145,143,2
"199",98,"[21]HcHxvnJHqKHGqayIHmjJr",312,0.993651,21,315,2,313,2,2,0,2,2,159,159,156,154,2
"200",99,"[21]HcHxvnJHqKHGqayIHmjJr",309,0.99359,21,312,2,310,2,2,0,2,2,159,159,153,151,2
"201",0,"[17]HcGHxGnJHqKHqaIJj",294,0.993266,17,297,2,295,2,2,0,2,2,151,151,146,144,3
"202",1,"[17]HcGHxGnJHqKHqaIJj",301,1,17,300,0,300,0,0,0,0,0,145,145,155,155,3
"203",2,"[17]HcGHxGnJHqKHqaIJj",303,1,17,302,0,302,0,0,0,0,0,153,153,149,149,3
"204",3,"[17]HcGHxGnJHqKHqaIJj",293,1,17,292,0,292,0,0,0,0,0,145,145,147,147,3
"205",4,"[17]HcGHxGnJHqKHqaIJj",295,1,17,294,0,294,0,0,0,0,0,142,142,152,152,3
"206",5,"[17]HcGHxGnJHqKHqaIJj",297,1,17,296,0,296,0,0,0,0,0,134,134,162,162,3
"207",6,"[17]HcGHxGnJHqKHqaIJj",299,0.996667,17,300,1,299,1,1,0,1,1,147,147,153,152,3
"208",7,"[17]HcGHxGnJHqKHqaIJj",298,1,17,297,0,297,0,0,0,0,0,137,137,160,160,3
"209",8,"[17]HcGHxGnJHqKHqaIJj",303,1,17,302,0,302,0,0,0,0,0,150,150,152,152,3
"210",9,"[17]HcGHxGnJHqKHqaIJj",300,0.996678,17,301,1,300,1,1,0,1,1,156,156,145,144,3
"211",10,"[17]HcGHxGnJHqKHqaIJj",306,1,17,305,0,305,0,0,0,0,0,156,156,149,149,3
"212",11,"[17]HcGHxGnJHqKHqaIJj",292,1,17,291,0,291,0,0,0,0,0,137,137,154,154,3
