trial_number,genome,merit,accuracy,genome_length,door_rooms,exit_rooms,correct_doors,incorrect_doors,correct_exits,incorrect_exits,doors_taken_0,doors_correct_0,doors_taken_1,doors_correct_1,doors_taken_2,doors_correct_2,doors_taken_3,doors_correct_3
88,"[87]GjfffHdwafndfCICabyafwafndbCLCabyafwafnfaCJBdeHdwaendfCIKCabyaeBeaCabyafwaendaCJCabyaeK",0,0,87,79,79,0,79,79,0,79,79,0,0,0,0,79,0
89,"[87]GjfffHdwafndfCICabyafwafndbCLCabyafwafnfaCJBdeHdwaendfCIKCabyaeBeaCabyafwaendaCJCabyaeK",0,0,87,100,100,0,100,100,0,100,100,50,0,50,0,0,0
90,"[87]GjfffHdwafndfCICabyafwafndbCLCabyafwafnfaCJBdeHdwaendfCIKCabyaeBeaCabyafwaendaCJCabyaeK",0,0.00980392,87,102,100,1,101,100,0,100,100,51,0,51,1,0,0
91,"[87]GjfffHdwafndfCICabyafwafndbCLCabyafwafnfaCJBdeHdwaendfCIKCabyaeBeaCabyafwaendaCJCabyaeK",0,0,87,79,79,0,79,79,0,79,79,0,0,0,0,79,0
92,"[87]GjfffHdwafndfCICabyafwafndbCLCabyafwafnfaCJBdeHdwaendfCIKCabyaeBeaCabyafwaendaCJCabyaeK",0,0,87,79,79,0,79,79,0,79,79,0,0,0,0,79,0
93,"[87]GjfffHdwafndfCICabyafwafndbCLCabyafwafnfaCJBdeHdwaendfCIKCabyaeBeaCabyafwaendaCJCabyaeK",0,0,87,100,100,0,100,100,0,100,100,50,0,50,0,0,0
94,"[87]GjfffHdwafndfCICabyafwafndbCLCabyafwafnfaCJBdeHdwaendfCIKCabyaeBeaCabyafwaendaCJCabyaeK",0,0.0365854,87,82,78,3,79,78,0,78,78,3,0,3,3,76,0
95,"[87]GjfffHdwafndfCICabyafwafndbCLCabyafwafnfaCJBdeHdwaendfCIKCabyaeBeaCabyafwaendaCJCabyaeK",0,0,87,79,79,0,79,79,0,79,79,0,0,0,0,79,0
96,"[87]GjfffHdwafndfCICabyafwafndbCLCabyafwafnfaCJBdeHdwaendfCIKCabyaeBeaCabyafwaendaCJCabyaeK",0,0.0365854,87,82,78,3,79,78,0,78,78,3,0,3,3,76,0
97,"[87]GjfffHdwafndfCICabyafwafndbCLCabyafwafnfaCJBdeHdwaendfCIKCabyaeBeaCabyafwaendaCJCabyaeK",0,0,87,79,79,0,79,79,0,79,79,0,0,0,0,79,0
98,"[87]GjfffHdwafndfCICabyafwafndbCLCabyafwafnfaCJBdeHdwaendfCIKCabyaeBeaCabyafwaendaCJCabyaeK",0,0,87,100,100,0,100,100,0,100,100,50,0,50,0,0,0
99,"[87]GjfffHdwafndfCICabyafwafndbCLCabyafwafnfaCJBdeHdwaendfCIKCabyaeBeaCabyafwaendaCJCabyaeK",0,0,87,100,100,0,100,100,0,100,100,50,0,50,0,0,0
