"","trial_number","genome","merit","accuracy","genome_length","door_rooms","exit_rooms","correct_doors","incorrect_doors","correct_exits","incorrect_exits","doors_taken_0","doors_correct_0","doors_taken_1","doors_correct_1","doors_taken_2","doors_correct_2","doors_taken_3","doors_correct_3","seed"
"8434",33,"[79]GuffHdwaCrhdeDmEBiBjvwandbCLCecqwafofCJBdHdwendaCIKqKDEFBeaFCuwafwendaqJCabaIeK",109,1,79,108,0,108,0,0,0,0,0,33,33,37,37,38,38,96
"8435",34,"[79]GuffHdwaCrhdeDmEBiBjvwandbCLCecqwafofCJBdHdwendaCIKqKDEFBeaFCuwafwendaqJCabaIeK",104,0.990476,79,105,1,104,1,1,0,1,1,36,35,39,39,30,30,96
"8436",35,"[79]GuffHdwaCrhdeDmEBiBjvwandbCLCecqwafofCJBdHdwendaCIKqKDEFBeaFCuwafwendaqJCabaIeK",108,1,79,107,0,107,0,0,0,0,0,37,37,35,35,35,35,96
"8437",36,"[79]GuffHdwaCrhdeDmEBiBjvwandbCLCecqwafofCJBdHdwendaCIKqKDEFBeaFCuwafwendaqJCabaIeK",111,1,79,110,0,110,0,0,0,0,0,29,29,38,38,43,43,96
"8438",37,"[79]GuffHdwaCrhdeDmEBiBjvwandbCLCecqwafofCJBdHdwendaCIKqKDEFBeaFCuwafwendaqJCabaIeK",107,0.981818,79,110,2,108,2,2,0,2,2,30,28,40,40,40,40,96
"8439",38,"[79]GuffHdwaCrhdeDmEBiBjvwandbCLCecqwafofCJBdHdwendaCIKqKDEFBeaFCuwafwendaqJCabaIeK",108,0.990826,79,109,1,108,1,1,0,1,1,30,29,40,40,39,39,96
"8440",39,"[79]GuffHdwaCrhdeDmEBiBjvwandbCLCecqwafofCJBdHdwendaCIKqKDEFBeaFCuwafwendaqJCabaIeK",106,1,79,105,0,105,0,0,0,0,0,30,30,43,43,32,32,96
"8441",40,"[79]GuffHdwaCrhdeDmEBiBjvwandbCLCecqwafofCJBdHdwendaCIKqKDEFBeaFCuwafwendaqJCabaIeK",102,0.980952,79,105,2,103,2,2,0,2,2,38,36,39,39,28,28,96
"8442",41,"[79]GuffHdwaCrhdeDmEBiBjvwandbCLCecqwafofCJBdHdwendaCIKqKDEFBeaFCuwafwendaqJCabaIeK",110,1,79,109,0,109,0,0,0,0,0,28,28,40,40,41,41,96
"8443",42,"[79]GuffHdwaCrhdeDmEBiBjvwandbCLCecqwafofCJBdHdwendaCIKqKDEFBeaFCuwafwendaqJCabaIeK",108,1,79,107,0,107,0,0,0,0,0,36,36,36,36,35,35,96
"8444",43,"[79]GuffHdwaCrhdeDmEBiBjvwandbCLCecqwafofCJBdHdwendaCIKqKDEFBeaFCuwafwendaqJCabaIeK",111,1,79,110,0,110,0,0,0,0,0,32,32,37,37,41,41,96
"8445",44,"[79]GuffHdwaCrhdeDmEBiBjvwandbCLCecqwafofCJBdHdwendaCIKqKDEFBeaFCuwafwendaqJCabaIeK",109,0.990909,79,110,1,109,1,1,0,1,1,37,36,33,33,40,40,96
"8446",45,"[79]GuffHdwaCrhdeDmEBiBjvwandbCLCecqwafofCJBdHdwendaCIKqKDEFBeaFCuwafwendaqJCabaIeK",108,1,79,107,0,107,0,0,0,0,0,33,33,39,39,35,35,96
"8447",46,"[79]GuffHdwaCrhdeDmEBiBjvwandbCLCecqwafofCJBdHdwendaCIKqKDEFBeaFCuwafwendaqJCabaIeK",106,0.981651,79,109,2,107,2,2,0,2,2,39,37,34,34,36,36,96
"8448",47,"[79]GuffHdwaCrhdeDmEBiBjvwandbCLCecqwafofCJBdHdwendaCIKqKDEFBeaFCuwafwendaqJCabaIeK",105,1,79,104,0,104,0,0,0,0,0,35,35,40,40,29,29,96
"8449",48,"[79]GuffHdwaCrhdeDmEBiBjvwandbCLCecqwafofCJBdHdwendaCIKqKDEFBeaFCuwafwendaqJCabaIeK",106,1,79,105,0,105,0,0,0,0,0,38,38,36,36,31,31,96
"8450",49,"[79]GuffHdwaCrhdeDmEBiBjvwandbCLCecqwafofCJBdHdwendaCIKqKDEFBeaFCuwafwendaqJCabaIeK",109,1,79,108,0,108,0,0,0,0,0,36,36,35,35,37,37,96
"8451",50,"[79]GuffHdwaCrhdeDmEBiBjvwandbCLCecqwafofCJBdHdwendaCIKqKDEFBeaFCuwafwendaqJCabaIeK",109,1,79,108,0,108,0,0,0,0,0,33,33,38,38,37,37,96
"8452",51,"[79]GuffHdwaCrhdeDmEBiBjvwandbCLCecqwafofCJBdHdwendaCIKqKDEFBeaFCuwafwendaqJCabaIeK",109,0.990909,79,110,1,109,1,1,0,1,1,30,29,39,39,41,41,96
"8453",52,"[79]GuffHdwaCrhdeDmEBiBjvwandbCLCecqwafofCJBdHdwendaCIKqKDEFBeaFCuwafwendaqJCabaIeK",106,0.981651,79,109,2,107,2,2,0,2,2,34,32,38,38,37,37,96
"8454",53,"[79]GuffHdwaCrhdeDmEBiBjvwandbCLCecqwafofCJBdHdwendaCIKqKDEFBeaFCuwafwendaqJCabaIeK",106,0.990654,79,107,1,106,1,1,0,1,1,36,35,38,38,33,33,96
"8455",54,"[79]GuffHdwaCrhdeDmEBiBjvwandbCLCecqwafofCJBdHdwendaCIKqKDEFBeaFCuwafwendaqJCabaIeK",111,1,79,110,0,110,0,0,0,0,0,36,36,32,32,42,42,96
"8456",55,"[79]GuffHdwaCrhdeDmEBiBjvwandbCLCecqwafofCJBdHdwendaCIKqKDEFBeaFCuwafwendaqJCabaIeK",108,1,79,107,0,107,0,0,0,0,0,35,35,38,38,34,34,96
