genome,merit,merit_given,gen, seed
"[56]HGcmDfirBgGhfjggIsEHHdKcoHGHAHuAbmFJEGadELzpueffCfqlxptr",1024,1024,4165, 161
"[103]DGCjqmnfrjGLABFuHnooHDyhotAIqknEvbfzvlmADzapEHfJpfsxuCuCbewfHIAgoJHtksAHbHwGKywkHwokfacycHdJBHvgiHvGrir",32768,32768,3919, 162
"[99]fxqzAzbcDDmFjacoigcGbchzhwwhEhyvmGHpLIHFarHvLxkbHfLivyKgnlBHnHpDJHHJGszcpzhqkltFzloeCGcmtldhuoEHljl",524288,524288,4095, 163
"[97]GCmfEvclBxBqIAqywmdBurGEbnjIAuuoelJGFjBsLypxppnFcGHwzhaaGGloGpLAHlHiHaiHilKEaIttIIIttaKlrIIoCtFun",4096,4096,3353, 164
"[57]qdtlBHAIfpLzkmhHjnaHkmacHdvhewKAhFzkEHHjyxJcylHhHxiJCbFEG",524288,524288,4981, 165
"[91]ikGBapKvyachcgxilFDEdEuHLFIFvzevdHnzjHAKjxqHdgpdBfexHJxrgLnnFHHpEhBHdgAJcLHHfeccLyBhEkHoduy",2.09715e+06,256,3194, 166
"[40]zykyEHhtHDmydrxzHymoqnmGHoosbJcrmBagBrqh",512,512,3956, 167
"[35]tyyGFbzDGAEBHAuIHnHlmyKHHyHuJHEHKdB",2048,0,4241, 168
"[69]xHgIHxEAHsHdeFztaLwmjyLcILqscHatjetkfGdHKjiydmjkxHLzIqHGCuqzsLagzootH",256,32,2784, 169
"[64]aHDfmFbawwEtowwyEIluhekbFDzAgibniGEsgJxoiLcHskLGoetqwwoKoFbawvqB",64,64,2943, 17
"[27]wrjrEsqrdEmFvoHLBLqHGwtcLIv",32,32,2826, 170
"[84]lcLbtAnznFsrGHmIzgHAreHHuHetewrKywqhmuIjkIcrsikItxvxipoiowIKaFIIAbgkEmsKIIodjxFoqEGq",8192,8192,5184, 171
"[66]GDnkjFGdmHAkIetmFHHokkHeHjKkunIojlxmdBIswaqioynIIKgIGgLIcKBnqslaEx",8192,8192,4229, 172
"[61]zsdnwpuHdtfixFImHHHtjmKtHoFoxhepwbyHhsoGlAcAJDIiDCHDlbHtfFxBJ",65536,65536,3281, 173
"[89]FuvKGgnytyqtlykstvFojzDfgsbJHacFbzbuBtdIymkalHGnafuzxwHHKEHmHfttckaxkkbleJyHjHfJHaHvHGqkn",2048,2048,3227, 174
"[44]aGcjnjeLgFpEBfpoHhbBaybzshLlkuraLnrnIhLGrLcf",32,4,2734, 175
"[88]zzrrpxldgBaqjbHGFdicgDCjeEfAswghdusawpowibiswfHdhAgHmhehejkxgyrIxHGlyjEnKtmHljzauHJHouHG",1024,262144,3341, 176
"[102]dhfuhfHBudFgjABczptnpxvDcsFfgcduehHFHDkpjnkHkFwoKDlwGJbhwFnCFauvEnCoAAJnqAulFhfqxIanChplbjJJIIIqAuBcfr",8192,8192,4238, 177
"[76]aeLLaftzxyAbzbmyHxhgtdBeDcLoaKotcAppeigfkhxnbvnGfploxEckDKIjmppmulzdmGDdfrib",64,64,1254, 178
"[100]HEiIHuttDHaHbKEHHrgJwHnHJAHHoHrAAvFEhGdikKqAdsxCiEbppyCIFDgeJzysEEyKxndmjqefyqigbwwljcBneFCvqowvCGiE",131072,131072,4426, 179
"[93]yuznarwfcxzGafxiHbapGoDmkuFEwvLadyDpEpiceizADzHDgzfofJHBbKCGLnfIjLfDAlJKgnDbrFyJsLpFBpsHseFjK",64,64,2666, 18
"[51]qHFxBftExqyxstwaLuozErwcDKgofHkmzaciBvbHkGrBLILHLcy",64,64,2794, 180
"[100]korLgcrerrcciLncqHoAmfvBDdEkvtbAcIrtHHBfGmtsuajxhHAguqfhFmjlBfvaGKaLHzfEfswtqHJujcHHxevLpjraLLkzuJLz",131072,0,791, 181
"[98]tHLcGBbBzbnILColIpeBzfnxKcsAyiKvvIjbbLmwyekhusICpocfEtLdGAueIDulDdvngBsoJkJcsfBwBuHDBmKjnljDhAFmHy",32,8,2604, 182
"[94]HiIoHhHFbHHHLlcFJGqbkdfcLpJDBayInKKKFLpynAzmEwotnnIyLzpkApekbzatbubyhGsrxGhxtkmDAfIqjBGcjycedh",1024,1024,3880, 183
"[68]ktpxuGtlBmgLBGFzeejwHhGLoKxEcjngcbDcAofArkyzttGwsuLsdauGDzgIlxakFgzm",64,2,2352, 184
"[57]fHudtBbIHEHEHkmgHxKfLbwHJFBqHHIsrwGqCjiruaLervbayHFJwnCfC",2048,2048,3727, 185
"[101]aapkwesEwayccvzxuixLiccczczidcynFllFgHickpshwdDeevBotndpzpGsDCCjgdhuvzLuHhHHqghjFDKuniFxHJDGIwDfnabmr",128,128,1573, 186
"[81]lxtHkIuHEiwzHoLHEwpkHuKHvjiirwhfwJHxvHrKnhHJkHfHJHiKHHtGBnCopsjlqfCoBrlgbHGhhgGan",16384,16384,4564, 187
"[85]qvmbwmtuqLizdzhDpLHbIHFpzksreEipwrvDLniJhvIyfAikEEElwLKJxiBJpfgwmuHloHBKHHJHHJFHlotHG",131072,8,4236, 188
"[101]qtgwttAHEDLisJjccwcAIvuxmHvLHobgicevpmFHkrcjfvbkFhBatqrcAatHkhbKHfvzxyBvcbtuJwfHxehHxmhhpLsjvfgDavHuG",2048,0,3972, 189
"[77]lyycHkbooayypIkmLGDnxFuIHGxiiHfFBpifjngLwynHFsgKHHJHEeaFlsfEHJstnHbHjHGBaGKEH",8192,8192,4117, 19
"[47]bceyuGBEEbeGHDDpracHBcxtpgLnIxoBhoByakgEothmsLd",32,16,2476, 190
"[50]itsxjtBshzEmhDdCBLanombAwszxeLgcHknILcHtisLGqpaajb",32,32,2624, 191
"[81]HcAImvznkHxFkHBdokHFscgxEHpiDvidEjguvKvuCfjqxgpGsGBCcEoohbfsfxBcelFFdlcrJlcgDsafi",1024,1024,4440, 192
"[80]HhwnefHDtaxvzagHpgdHjEKmnbnvAmmnmtHIIiAIlksyvpyrIojhufxAohbIEBKIzLqItzkujjjLnCGC",8192,8192,4206, 193
"[62]tFkeseHrIkuAaEtaxEauxHhvkeHrlnxsHHjicKEkiFHLJLHHKhEGqAwIcwdeoe",2048,2048,3730, 194
"[67]qcHpztcjzmBqlIqwLdEHvDKkHzaJrEmvckyHmHzacDjFDlugmHgyKJHDqItGgLnBLLc",2048,2048,3141, 195
"[41]DcHIDJaHlwvjdHdfcxHCcsuwdAHKLEcHGzJedHBfG",2048,2048,4533, 196
"[115]jHolyIvqFELDHHogFbhozgAHHHjJvAnjzzlztvuDvzsKLjdDJAFgkAJcIeIbvkJIIJIIIBmKGIIJbjGvFIIvJnGfGAbbakfCaKEJmfeGxwwfckbdhjf",32768,0,4549, 197
"[87]zgnFoBsHrIzwHHGwdeofwHgkDxtyApnEKgHBlHvgJHvHmJFqHJDotpDBGjLKrqriywsnwbEHFDrfBEFdBozGkHs",3.35544e+07,3.35544e+07,4684, 198
"[105]rFyHIHHxHbauAehwzezHtqzKauvHhnIIsBhnfGItAcInAhhwtglxmwrpuasrkJKFlvIGvkKjIuIyxcbKIheaxzIEzsoyeGzbCesDJbCtz",4096,4096,4792, 199
"[61]tdslEphphcluFfepzyEDdDsGfrplyzqecAghvBhEriaxHxtLsxrBtILGqHmau",32,8,2571, 2
"[79]GDJHIbFHgwowDqzbHhApzfHKamrHEFmBHJHqAHFDmAtnbKdmbsFBewHgJHlvHrGzpgnqyFkwLCmHbeI",524288,524288,3906, 20
"[75]yallkvsyaautHFuhzxwtmFtGrxoCxDKkxfIHGEkfsLDxBpKgKzpyAEwlxbCpnILdslmsHEKwLdH",64,1,2932, 200
"[80]ctltAHGlildLtvHrxHgyEHiegflynKvHIkIiIckbcIIKxfIIddcsndwrgezdKBgLIIrqKxgwfGkKmACg",8192,8192,5274, 201
"[83]lAwHfyyyGqDxbnrewgBcxAxkztrdnLjIDuqyjxbHHGksntagzrdtwiuBAkmlrHKrAuHzkFAHJHHznauJeHH",2048,2048,3045, 202
"[91]ylHaDiscxaIjslmddFAgHHloukecBHmnkjbplAlKHeHJHgiaHmJCwhEuyfJKxdyxHGqvxvxkImxdeuEaofdauuhjdBL",131072,131072,4205, 203
"[96]qECnawJsDurfFAcsmlbkstuicFuiKBzHguEmoolzaBLbGIummoGLIEAdimEolpoEjHsIrwHjmsHhHxDBkdGBHKgHAJHyDdeG",4096,4096,3825, 204
"[107]wejeAGwhycHLelGnyDnFALelmzsjokgBuIEzfvqvrtfBgHdvAdHidtfrBiCdiHbFKHHJHtHjlGuvaJzHoHGBHlmDwkcdnsnGgaCDHICdnol",131072,0,1647, 205
"[103]GdHImznHCEpHvmprqlqxslLFGmlfkEDAgbcsBDHeGgmaEvHHtAGleLrnvDLHcgDbglHHKFnbvgtHydhqhIiuIIieIkFxkLdruibIhim",256,256,3780, 206
"[102]fHCJymCHBvpwmiFlKsjgJnHbeKbnaFdEmqlJeKHxajjxFvmtlcrtwulbGzFhgDjxIkoyhHbGBHitpdnlhAHhHLkKtFirDIjKjEkErH",512,512,3433, 207
"[103]hyzLHymdGhBeDrIDilCtsBhLmHCodotjIEAluCpcjlnpGalFmrrrkpqkcaHyaghFHesHoHxrzifxkekeiszJDjtGqggwcqEoHDLJhcn",1024,1,3295, 208
"[82]BDohiDbmGparpnCxpwDyDuzHIxEEsrDLIuvwKxxHDnHmoAslzFswAEpGzmizFwEfHzHdnHefHJpviypzFE",262144,262144,4434, 209
"[41]qgHIHqzuHDDtwFHHdpEwzykuKHjfJHHKcoxLkBGqD",2048,2048,4616, 21
"[85]utvEFHeiaFGdLcnILCnnxEIEkcgguvpkjwloquxrLvqaetsFlmDKeaduhAsHfBKnLmsrnCwhbHfHpiBFlDrGd",32,4,2579, 210
"[51]qiAzsaEHjtGmcgEltDhbwbvAeFhDmaowhAydlGyIcLcHumdgiGL",32,32,2683, 211
"[99]GapnADlAyepGiDktgylLHwAEgvIzbufGzLGgouguysdipoHmHLHKybLHmHEgLyJxHcndFHgdEjAGpvcAkqFBewfwzpJqDLLmvGb",2048,2048,1755, 212
"[77]qywbmfcGemHItApLhxvfqBedpdzvfziwHnzeDFzwHzaBHzHKHaLJcezqHzgHFvqLJczLHqlzKHxHG",16384,16384,4479, 213
