"id","ancestor_list","origin_time","destruction_time","num_orgs","tot_orgs","num_offspring","total_offspring","depth","taxon_info","is_dominant_lineage"
6288424,"[6286999]",249996,Inf,1,1,0,0,1416,"[101]hFtocQLHcNcJOqOcKBGCPJxKagObNboceHoQbKFbIfvfOfcMwcOmHqjqbHPRdzQOJGPCELrqECSrDDePiRsDLPmADhyjrhzvHpHtE",FALSE
6288423,"[6276101]",249996,Inf,1,1,0,0,1388,"[92]mFnocPLHcocJMqncKBGCjaFEhjFESrhbGSgjrwIjvlBSkvuicaGuesBEhHeyhNBPMAaSALKlrSNFDqyvEMCHcgOuaCxQ",FALSE
6288417,"[6286999]",249996,Inf,1,1,0,0,1416,"[101]hFnocQLHcNcJOqOcKBGCPJxKagObNboceHoQbKFbIfRfOfcMwcOmHqjqbHPRdzQOJGPCELrqECSrDDePiRsDLPmADhyjrhzvHpHtE",FALSE
6288415,"[6282425]",249996,Inf,1,1,1,1,1421,"[96]LmFnocpLHcocJRqOcKBGCADkKRDSFFIgOukaHcxwnByOmszwnxgkeGbmqIedRtoGJmhcsonyjxlxIrlGDPOiiGcyshsqSFkA",FALSE
6288413,"[6285702]",249996,Inf,1,1,0,0,1380,"[93]hFnocQjHcocJMqOcKBGCLuftDjbQcMwAqPKuRHyeHwwQCdrEHcDlEynHgIlgJOsHrtoFysGmzbzigPxPKCsaPwmNnHiby",FALSE
6288412,"[6283155]",249996,Inf,1,1,0,0,1403,"[79]FQPocPLHcNcJRqOcKBGCFuJfGMabFykriSehJjbSgsBAMmmoIeRvdiGsbNmarApktxoAHxSgcmHxSha",FALSE
6288410,"[6284268]",249996,Inf,1,1,0,0,1418,"[101]hFnoaQLHcNcJOqOcKBGCPJxKagObNboceHHQbpFbIfvfOfcMwiOmHqjqbHHdzQKJGPCwLrlqMCxrDDePiRsDLPmADhyjrhzvHpHdE",FALSE
6288409,"[6286756]",249996,Inf,1,1,0,0,1398,"[91]FqnocPLHcocJRqOcKBGCtOnFgQFoqaOtvMkOoAKczIqhFQbhjdSFpneGtRJmhwtrtpjtCEidLIdDkHJllquDjOEKscl",FALSE
6288408,"[6283694]",249996,Inf,1,1,0,0,1350,"[83]hFnocQLHcNcJMqOcKBGCxrnybJEhFCzkJNMkDgFSGdaKKBJlaHAiIjGCvbfDzaaKNBDgkcljnzqGIsuFHbu",FALSE
6288407,"[6283014]",249996,Inf,1,1,0,0,1390,"[92]hFQocQLHcocJRqOcKBGCRxohNmArSIknmuuKyktGtBpvkrqsnwSyoMJNbdcBzgvswjcLibGJjaLQBbLAaKuuQLKqalNG",FALSE
6288405,"[6279760]",249996,Inf,1,1,0,0,1348,"[81]hFPocQLHcNcJOqOcKBGCEInzJLRyOfPPxoJEAgmkBQwaEzpzqNseMINIwlKCrRRJBemIJnlHOoqdrzRkQ",FALSE
6288403,"[6285402]",249995,Inf,1,1,0,0,1422,"[93]hFPocQLHcNcJMqOcKBGCsnqKNoxtiJLpiPqKEbPBlmDyMFvmgiQumCDfimDdLjCCpMtangmINHrsDHpAzeJOpRxvIbMxK",FALSE
6288398,"[6286165]",249995,Inf,1,1,0,0,1430,"[92]mFpocQLHcocJOqMcKBGCGPmOmDbqcuODEPwsANigapDvLEdjvMqfSBNSMSwnrukQylxMtNboMjhkALItvGdeHxSQREom",FALSE
6288397,"[6287205]",249995,Inf,1,1,0,0,1382,"[97]FqpocPLHcocJRqOcKBGCoFEOnalQExiaytuqNOoaKQtqyNFQbJfqtFpleqnRJmmdtrdtckFCEjqdLkeykHbDKllpupyJqugjl",FALSE
6288396,"[6286646]",249995,Inf,1,1,0,0,1386,"[96]FqpocPLHcocJRqOcKBGCFEOnalQExiaytuBNOoaKkQyxymFQLJRqFIIeqnRJmmdtrotckFCEjqdLktIkBbDAlbpupSJqugjl",FALSE
6288395,"[6287731]",249995,Inf,1,1,0,0,1421,"[102]hFnocQLHcNcJOqOcKBGCHJNKvgybzOxwKeHmQGyFbIwvvOfcMFwoOBqjqFHLPdlQwMGNCJuLREGvQDfePeRstLPQpQhlfrmMfHsltr",FALSE
6288394,"[6277273]",249995,Inf,1,1,0,0,1379,"[96]FqpocPLHcocJRqOcKBGCFEOnalkaiaytuqNOoaKwQtqyNFQbJfqSupIeqnRJmmdtrstckFCEjqdLktykHbDKllpuDSJqugRl",FALSE
6288393,"[6286502]",249995,Inf,1,1,0,0,1354,"[86]xFnocQLHcNcJMqOcKBGCxdnybJEhaCzrkJNMsRgFSyIaKKBilxHAiInGCvbfDzaLGgfNBDgxClpqzyGIsuFHSu",FALSE
6288391,"[6284200]",249995,Inf,1,1,0,0,1423,"[108]jFnocQLHcNcJOqOcKBGCOrJhlgEcxjrajsncuhRxLxfMbEqbeOClpOevMSPdIuxLpbaarehlbIuNDsGapKCQkMPxgsKGfMkAzzCldJfwrsvw",FALSE
6288389,"[6283762]",249995,Inf,1,1,0,0,1424,"[94]KFnocpLHcocJOqOcKBGCADkKRDzLFIDOukqHcEwnByOasfwnxgkwovmqIedtoGmhLcsAyjxQxIrlGDPOsGGKcysrsqSFaA",FALSE
6288388,"[6287294]",249995,Inf,1,1,0,0,1425,"[106]hFnocPLHcNcJOqOcKBGCCKtaAgNHbpMASwAokNNukOgvFGBBQIfOowfqAfINabiGaHryeSbcGwPFsqfJAejgQOikLttxyQLznhmxsJSdtP",FALSE
6288387,"[6287845]",249995,Inf,1,1,0,0,1398,"[94]mFnocPLHcKcJOqOcKBGCGkbIyuDcnHktBvcsJRppNPjLfyMICbEehbLboFGOzpiRPKJcJzwNOtwxRAqcxHwDdJeSHocrdz",FALSE
6288385,"[6284783]",249995,Inf,1,1,0,0,1394,"[90]cFnocPLHcocJOqOcKBfCGbbIPJkOktmassMiArPGLyMKCGOqmEqLioFdzLFMKJCMkzBNbSwnKAIxlDwDdJelukjMdk",FALSE
6288383,"[6287080]",249995,Inf,1,1,0,0,1400,"[89]FqnocPLHcocJRqOcKBGCtaOnFgQFogaOyfmGOoAKczIqNQyjszSFpneMtRJkhwtrtjFCEjdLkdDkcluquDjOpEscE",FALSE
6288382,"[6282678]",249995,Inf,1,1,0,0,1419,"[93]hFpocQLHcNcJMqOcEKBGCBevaDicRrEMyxKSGdkKFcLRAfFqkivRbqFAIulLMcvGobdGeRHvNQEIEDfHLGkEGNkeunKGd",FALSE
6288380,"[6284200]",249995,Inf,1,1,0,0,1423,"[108]jFnocQLHcNcJOqOcKBGCOrKhlgEcxjrajsncuhRxsxfMbEqbeOClpOevMSPdIuxLpbaarehlbIuNDsGapKCQkMPxgsKGfMkAzzCldJfwrsvw",FALSE
6288378,"[6287497]",249994,Inf,1,1,0,0,1360,"[81]hFPocQLHcNcJOqOcKBGCEvOJLxRDOQPxiQEyjDAOCaExaBCeAIaNIEetJCxRRJBBDtqHnlGcoqdrzwkko",FALSE
6288376,"[6287360]",249994,Inf,1,1,0,0,1417,"[108]hFnocPLHcNcJOqOcKBGCiLtOAgzqqbSARkAIokxDgxOgvFHBcmLgbOowfqOQMKwbGjtziPFeStDGwRFLRBJpEjljisLgDxylvnypdNyJCntP",FALSE
6288374,"[6286265]",249994,Inf,1,1,0,0,1392,"[104]hFnocQLHcNcJKqOcKBGCpaHayAQevpximBOmJlaihLBPhPPmszzgKHrBAQlDoGkweNJPxiFiGEsCshEnQQakKsrADvJBsEkroaBtalDg",FALSE
6288373,"[6283104]",249994,Inf,1,1,0,0,1382,"[101]kFQocQLHcocJOqOcKBGCxJIAcjdrGOLORqsoLJHyicbdnprjczmecHKBgmQFGqbyltChnwRkopqGJprHhGydbKKsScKQIuuDiHOwr",FALSE
6288371,"[6286646]",249994,Inf,1,1,0,0,1386,"[96]FqpocPLHcocJRqOcKBGCFEOnalQEdiaytuBNOoaKkQyxymFQLJRqFIIeqnRJmmdtrotckFCEjqdLktIkBbDAllpupSJqugjl",FALSE
6288369,"[6284958]",249994,Inf,1,1,0,0,1406,"[105]hFnocQLHcNcJMqOcKBGCpHdgdobpdhCpuiwBpMHafsLbLePmQOKcKjxxxrHqpjjEIkbGuuABPNkmHvninbGAjaSJADbvIpEpkqaByauDl",FALSE
6288368,"[6287661]",249994,Inf,1,1,0,0,1353,"[86]hFQocQLHcNcJMqOcKBGCDMjKtjHkMRyfidbQohxyAcjHFpHdgtKjluxtgOEOnLJumabDsDSMlqnkqAjhIBjExE",FALSE
6288366,"[6285414]",249994,Inf,1,1,0,0,1408,"[85]hFpocQLHcNcJMqOKBGCGEDzKGCDyrdyzCJMdMgHNhLeCfDGIlNRCuHLsMuGGrKbieMnnOnjoODwMpFuNjedPN",FALSE
6288364,"[6276319]",249994,Inf,1,1,0,0,1422,"[96]mFpocQLHcocJOqMcKBGCGEmbeDsAcuNDDtPmIBANEwDAvvdiufARqPSizMOnKSiujeayMujMtgMMjFALatrGdoPeaGNyqIKd",FALSE
6288363,"[6255697]",249994,Inf,1,1,0,0,1405,"[89]hFPocQLHcNcJRqOcKBGCwBtSNAPNykNKkIelaEnQtjfDrneIiccqwhmtMIwKpzJKJAljjFrjNDPsrPadHhzGijyvp",FALSE
6288362,"[6285695]",249994,Inf,1,1,0,0,1379,"[96]kFQocQLHcocJOqOcKBGCxQSAbdMJGhJRjsoJRyecbnBpiQDcmecjKGgLpFGybNNaChnwkocKGJrDObKbsqScMujuRDivOwOn",FALSE
6288361,"[6284286]",249994,Inf,1,1,0,0,1428,"[105]hFnocPLHcNcJOqOcKBGCiLCRoSAQmJwwBMBokDoxOEDCFjmrqsmOwFNoaxEewPFtEiseuburrNrORBbnpujObsBEgLREcvzLiIrEmCtkc",FALSE
6288356,"[6286993]",249994,Inf,1,1,0,0,1402,"[92]FqnocPHcocJRqOcKBGCtaOnFpQFniuOtvGGAoADAzIDFFOIhjdSFpIeMwQSmhwrrspjFQEEqdLMdekHkllquDjOqCscl",FALSE
6288354,"[6274957]",249994,Inf,1,1,0,0,1352,"[85]hFQocQLHcNcJMqOcKBGCDMjKtjHkRyfidbQohxyAcjHFSHdgtKjluxtgOEOnLJumabDsDSMlqqkqAjhIBjExE",FALSE
6288353,"[6284967]",249994,Inf,1,1,0,0,1411,"[109]hFnocQLHcNcJOqOcKBGxinaDKRfmquMswwAIBrIHGQgnfjNBdMfrOOwOHqOIIsblntiryeSbGuLlwsyBJHpEvqfOqsLjtFxlvzLluyJNJithe",FALSE
6288348,"[6277016]",249993,Inf,1,1,0,0,1408,"[88]hFPocQLHcNcJRqOcKBGCwBtbJptiNykNokIelEnQDfjDDneIiccszhmfMtwvpQJKJDAljFrNDPsrParHhSBbjyvL",FALSE
6288346,"[6287501]",249993,Inf,1,1,0,0,1381,"[97]FqpocPLHcocJRqOcKBGCFEOnaldExiaytucNOoaKwQtqyNFQbJfqSFpIaqnRJmmdtQstckFCEjDyLktykzbDKllpuDSJqugRl",FALSE
6288345,"[6278864]",249993,Inf,1,1,0,0,1389,"[100]hFQocQLHcocJRqOcKBGCxoDIvfgPmFjbnyoRJHgQMMdCuMojDxIHrlrKNCjlFSibdpNwSHeRyCsAGSwIfMhvCRaASBuouBCfiqRf",FALSE
6288344,"[6266598]",249993,Inf,1,1,0,0,1393,"[84]HFnocQLHcocJOqOcKBGCJAlvnozwcJSuKKedvGaeSjFntKxhziPCdvhiClhAODuNDyrHFzPjlKEwnHNHMNLl",FALSE
6288342,"[6284154]",249993,Inf,1,1,0,0,1406,"[94]mFnocpLHcocJOqOcKBGCvDkzIhhKIRMumuDcHhSBRyhvuuSOOkxoJRfIRcREogxphcfJKaxgwxISiDAqOGSnsRfKsmSbEA",FALSE
6288337,"[6269930]",249993,Inf,1,1,0,0,1414,"[92]hFpocQLHcNcJAqOcKBGCGrKaDicyrnpyeKSGdMKFOLRefjqkivElqGbAlLgcvGQbuGeRIDnwBtxSOfHhGkHGNkeunKAd",FALSE
6288335,"[6287758]",249993,Inf,1,1,0,0,1419,"[96]mFnocpLHcocJOqOcKBGCHDuzeKxkKARMumucHhpblqyaoRHFRJokgjRwIxRczEgxphcKfJPaMpyxISyDPuDCSnbRHdsmSIEA",FALSE
6288329,"[6287408]",249992,Inf,1,1,0,0,1408,"[97]mFnocpLHcocJOqOcKBGCickzILhkKjRjusuMxgohSDRyavMuCJOkxobbqIRcREogESphHfJKSxgxISpDPuDGISPRHrKsmSbEa",FALSE
6288326,"[6277090]",249992,Inf,1,1,0,0,1417,"[94]mFnocpLHcocJOqOxKBGCHDuzKxkKARMumucHhpblqyaoRHFRJOkRjRwIRcREgxphcKfJPaMsyxISyDPuDCSnbRHusmSIEA",FALSE
6288325,"[6285475]",249992,Inf,1,1,0,0,1417,"[106]hFnocPLHcNcJOqOdKBGCGLtOAgNqqblARKAIokIDxOgvFHBcmLobOowflOdIKwbGjtiPFeSbGwRFLRBJpEjljOisLRDxylvzypdxyJCntP",FALSE
