"","id","ancestor_list","origin_time","destruction_time","num_orgs","tot_orgs","num_offspring","total_offspring","depth","taxon_info","genome","genome_length"
"16010",2560596,"2559905",99929,100291,0,7,1,2550,621,"[93]hNxnocQLPcJHcNcJMqOcKBGCxpgJJASJJmBujaBBORbljQRuQMHcxmiMBveNbkyPLfuDENwGMeciHNNGRDLAtKkuancJM","hNxnocQLPcJHcNcJMqOcKBGCxpgJJASJJmBujaBBORbljQRuQMHcxmiMBveNbkyPLfuDENwGMeciHNNGRDLAtKkuancJM","93"
"16008",2559905,"2558458",99902,100080,0,2,1,2550,620,"[93]hNxnocQLPcJHcNcJMqOcKBGCxpgdJASJJmBujaBBORbljQRuQMHcxmiMBveNbkyPLfuDENwGMeciHNNGRDLAtKkuancJM","hNxnocQLPcJHcNcJMqOcKBGCxpgdJASJJmBujaBBORbljQRuQMHcxmiMBveNbkyPLfuDENwGMeciHNNGRDLAtKkuancJM","93"
"16007",2558458,"2539798",99847,100015,0,3,1,2550,619,"[93]hNxnocQLPcJHcNcJMqOcKBGCxpgdJASJJmBujaBBORbljQRuQMHcxmiMBveNbkoPLfuDENwGMeciHNNGRDLAtKkuancJM","hNxnocQLPcJHcNcJMqOcKBGCxpgdJASJJmBujaBBORbljQRuQMHcxmiMBveNbkoPLfuDENwGMeciHNNGRDLAtKkuancJM","93"
"16006",2539798,"2536209",99103,100037,0,14,1,2550,618,"[93]hNxnocQLPcJHcNcJMqOcKBGCxpgdJASJymBujaBBORbljQRuQMHcxmiMBveNbkoPLfuDENwGMeciHNNGRDLAtKkuancJM","hNxnocQLPcJHcNcJMqOcKBGCxpgdJASJymBujaBBORbljQRuQMHcxmiMBveNbkoPLfuDENwGMeciHNNGRDLAtKkuancJM","93"
"16005",2536209,"2529757",98962,99513,0,15,1,2550,617,"[93]hNxnocQLPcJHcNcJMqOcKBGCxpgdJASJymBujaBBORbljQRuQMHcxmiMBviNbkoPLfuDENwGMeciHNNGRDLAtKkuancJM","hNxnocQLPcJHcNcJMqOcKBGCxpgdJASJymBujaBBORbljQRuQMHcxmiMBviNbkoPLfuDENwGMeciHNNGRDLAtKkuancJM","93"
"15987",2529757,"2526988",98704,99603,0,35,1,2550,616,"[93]hNxnocQLPcJHcNcJMqOcKBGCxpgdJASJymBujaBBORbljQNuQMHcxmiMBviNbkoPLfuDENwGMeciHNNGRDLAtKkuancJM","hNxnocQLPcJHcNcJMqOcKBGCxpgdJASJymBujaBBORbljQNuQMHcxmiMBviNbkoPLfuDENwGMeciHNNGRDLAtKkuancJM","93"
"16002",2526988,"2525626",98595,98909,0,11,1,2550,615,"[94]hxNxnocQLPcJHcNcJMqOcKBGCxpgdJASJymBujaBBORbljQNuQMHcxmxMBviNbkoPLfuDENwGMeciHNNGRDLAtKkuancJM","hxNxnocQLPcJHcNcJMqOcKBGCxpgdJASJymBujaBBORbljQNuQMHcxmxMBviNbkoPLfuDENwGMeciHNNGRDLAtKkuancJM","94"
"15997",2525626,"2524342",98541,98748,0,5,1,2550,614,"[94]hxNxnocQLPcJHcNcJMqOcKBGCxpgdJASJymBujaBBORbljQNuQMHcxmxMBviNbkoPLfuDENwGMeciHNNGRDLAtKkAancJM","hxNxnocQLPcJHcNcJMqOcKBGCxpgdJASJymBujaBBORbljQNuQMHcxmxMBviNbkoPLfuDENwGMeciHNNGRDLAtKkAancJM","94"
"15965",2524342,"2514351",98491,98557,0,1,1,2550,613,"[94]hxNxnocQLPcJHcNcJMqOcKBGCxpgdJASJymBujaBBORbljpNuQMHcmmxMBviNbkoPLfuDENwGMeciHNNGRDLAtKkAancJM","hxNxnocQLPcJHcNcJMqOcKBGCxpgdJASJymBujaBBORbljpNuQMHcmmxMBviNbkoPLfuDENwGMeciHNNGRDLAtKkAancJM","94"
"16501",2514351,"2512074",98089,98838,0,43,1,2550,612,"[94]hxNxnocQLPcJHcNcJMqOcKBGCxpgdJASJymBujaBBORbljpNuQMHcmmxMBviNbkoPLfuDENwGMeciHNNGRDLAtKkAzncJM","hxNxnocQLPcJHcNcJMqOcKBGCxpgdJASJymBujaBBORbljpNuQMHcmmxMBviNbkoPLfuDENwGMeciHNNGRDLAtKkAzncJM","94"
"15995",2512074,"2505361",97997,98191,0,5,1,2550,611,"[94]hxNxnocQLPcJHcNcJMqOcKBGCxpgdJASJymBujaEBORbljpNuQDHcmmxMBviNbkoPLfuDENwGMeciHNNGRDLAtKkAzncJM","hxNxnocQLPcJHcNcJMqOcKBGCxpgdJASJymBujaEBORbljpNuQDHcmmxMBviNbkoPLfuDENwGMeciHNNGRDLAtKkAzncJM","94"
"15992",2505361,"2501508",97728,98195,0,10,1,2550,610,"[94]hxNxnocQLPcJHcNcJMqOcKBGCxpgdJASJymBujaEBORbljpNuQDHcmmNMBviNbkoPLfuDENwGMeciHNNGRDLAtKkAzncJM","hxNxnocQLPcJHcNcJMqOcKBGCxpgdJASJymBujaEBORbljpNuQDHcmmNMBviNbkoPLfuDENwGMeciHNNGRDLAtKkAzncJM","94"
"16351",2501508,"2497106",97574,97827,0,3,1,2550,609,"[95]hxNxnocQLPcJHcNcJMqOcKBGCxpgdJASJymBujaEBORbljpNuQDHcmmNMBviNbkoMPLfuDENwGMeciHNNGRDLAtKkAzncJM","hxNxnocQLPcJHcNcJMqOcKBGCxpgdJASJymBujaEBORbljpNuQDHcmmNMBviNbkoMPLfuDENwGMeciHNNGRDLAtKkAzncJM","95"
"15989",2497106,"2491726",97399,97627,0,2,1,2550,608,"[95]hxNxnocQLPcJHcNcJMqOcKBGCxpgdJASJymBujaEBORbljpNBQDHcmmNMBviNbkoMPLfuDENwGMeciHNNGRDLAtKkAQncJM","hxNxnocQLPcJHcNcJMqOcKBGCxpgdJASJymBujaEBORbljpNBQDHcmmNMBviNbkoMPLfuDENwGMeciHNNGRDLAtKkAQncJM","95"
"15986",2491726,"2483595",97183,97460,0,3,1,2550,607,"[95]hxNxnocQLPcJHcNcJMqOcKBGCxpgdJASJynBujaEBORbljpNBQDHcmmNMBviNbkoMPLfuDENwGMeciHNNGRDLAtKkAQncJM","hxNxnocQLPcJHcNcJMqOcKBGCxpgdJASJynBujaEBORbljpNBQDHcmmNMBviNbkoMPLfuDENwGMeciHNNGRDLAtKkAQncJM","95"
