genome,merit,merit_given,gen,path_tiles_visited,moves_off_path,map_idx, seed
"[91]qygDSbHpvOIeiccyuLBwwHPRmjmliaieLRKNCRbqPkxnOnGsEEcfPIoAJlJDuguJGDKLkQqqPbAwepKPbDNASjkhLtr",4.25353e+37,1.03846e+34,79,126,1,3, 154
"[90]igzOOSHhpdoIjnwwLBywHPpNmbbeiarLRKNCRbqPeArthRyzEaoGPIAJrJDBggClvwEgeLgqzOyJSgNgjJimsJhFLu",8.50706e+37,6.49037e+32,218,127,1,3, 155
"[91]qygFmeHwvOeNSpDyLLBwwHPcojebAjijrLRKNCRbqPeawOoGsExcPIAJlJDuguxGcOxLMcQSqobPlAyibgNDnBJSNdH",1.62259e+32,5.1923e+33,84,108,1,2, 156
"[89]qygzCbHizgPvNGEibdLBwwHPcNgebaiaeLRKNCRbqPkQwOpGaExNGPIJMJDuLuaGDKfQsqPbpcuCKaJNDLMJJxdQu",4.25353e+37,3.24519e+32,94,127,2,1, 157
"[89]qagczHupOIgAScpyuLBwwHpcNnebaiaeLRKNCRbqPwOkcPGsExcPIAJFJDuglkEDvikBpqbPDtquNKbwNJhNJwxdu",8.50706e+37,6.49037e+32,91,127,1,1, 158
"[86]qygzSmHtzINiskuLBwwHPctjebriAeLRKNCRbqPkOMOnGENcGPInJlJDuhuaQDKLkQqHPbKjuxobwNjmMJAxdu",2.65846e+36,1.03846e+34,57,122,1,3, 159
"[88]qeLgzSBHOtSOIrDcynLBvwHacNjebMiaeLRKNCRbqPkANcGsExccPIFJlJDNaRaGkrsmrwDRKGueyeHhDmCdsxRu",2.12676e+37,1.62259e+32,98,125,1,3, 16
"[91]qygzSbHutOIgbdcFuLBwxHPailjmjfmaeLRKNCRbqxklPLPGtExuPIAJlJDuguaSRDKLeQqoPbKLQeKbsnDmcJxaxdQ",8.50706e+37,1.03846e+34,80,128,2,1, 160
"[87]eobweMmywtOvpNbGLiALBwHPfujekeiaeLRKNCRbqPOzwhebExoGPIJJDJHOcyoCShrtAPsOueslNllJaSRembN",4.25353e+37,1.62259e+32,227,127,2,1, 161
"[89]MygzSbHaGkINScBPuLBwwHPcNjebaiaeLRKNCRbqPkOwOeGsExcePIAJlJDxguaSDKLkcqqbicjueKbwNDmMehxdu",1.03846e+34,4.05648e+31,39,115,2,0, 162
